Tiempo,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
0.0,-800,110,8490,-52,-116,-92,-18,56,149
0.02200000000016189,-1234,-6,8350,-28,266,-17,-14,65,148
0.0340000000001055,-502,182,8418,-33,67,-43,-13,49,139
0.05600000000004002,-604,284,8024,-64,-39,-82,-16,53,148
0.06799999999998363,-1134,204,8388,-86,-14,-67,-8,59,135
0.09000000000014552,-786,372,7932,-97,151,-110,-18,62,156
0.10200000000008913,-1230,222,8722,-126,329,-50,-15,51,144
0.12400000000002365,-600,280,8130,-101,171,-20,-10,46,151
0.14600000000018554,-1416,94,8328,-115,385,-114,-14,53,143
0.15800000000012915,-1076,222,8038,-118,317,-10,-16,48,136
0.18000000000006366,-1198,224,7656,-161,198,-77,-6,59,149
0.19200000000000728,-990,202,8100,-220,-118,-101,-14,60,155
0.21400000000016917,-1106,138,8324,-226,-215,-102,-8,51,151
0.22600000000011278,-1244,88,8320,-242,-53,-94,-4,60,155
0.2480000000000473,-170,286,7626,-293,-530,-125,3,56,149
0.2599999999999909,-1856,-80,8548,-359,-373,-184,-16,53,143
0.2820000000001528,-1556,-160,8730,-261,331,24,-8,56,151
0.3040000000000873,-1022,-204,8632,-216,732,25,-21,43,157
0.3160000000000309,-388,-6,7764,-267,137,-84,-8,54,156
0.3380000000001928,-1760,-222,8340,-272,313,-102,-6,51,154
0.3500000000001364,-1708,-186,7926,-286,630,-16,0,55,157
0.37699800000018513,-922,-110,7624,-321,240,-12,-4,40,157
0.3890000000001237,-1162,-268,8072,-434,-248,-79,6,41,151
0.4010000000000673,-1432,-578,8774,-413,-297,-117,0,45,153
0.4230000000000018,-1506,-650,9004,-249,51,-40,-1,31,156
0.4450000000001637,-1576,-622,8772,-212,100,15,-2,50,167
0.4570000000001073,-1102,-550,8578,-140,91,29,-10,49,163
0.47900000000004184,-1086,-640,8488,-137,282,60,0,35,160
0.49099999999998545,-1144,-632,8388,-99,267,-35,0,40,153
0.5130000000001473,-1228,-606,8150,-68,221,-29,2,40,160
0.5350000000000819,-1344,-748,8556,-73,369,-50,4,27,157
0.5470000000000255,-1040,-668,8358,-71,237,-41,3,31,158
0.5690000000001874,-1204,-580,8142,-40,72,-108,3,34,163
0.581000000000131,-1558,-610,7818,-28,-22,-115,-4,27,153
0.6030000000000655,-1430,-540,7994,-111,-443,-173,2,37,157
0.6150000000000091,-1944,-670,8624,-71,-318,-151,6,26,154
0.637000000000171,-1808,-640,8684,18,74,-40,1,39,158
0.6490000000001146,-2018,-690,8534,85,865,53,0,37,155
0.6710000000000491,-808,-356,6782,33,501,33,3,39,154
0.6929999999999836,-1442,-458,7252,-122,-253,-94,-3,36,151
0.7050000000001546,-1748,-638,8656,-212,-416,-125,8,39,163
0.7270000000000891,-1678,-646,8192,-79,-236,-17,4,37,172
0.7390000000000327,-1038,-620,8204,-166,-395,-48,4,37,164
0.7610000000001946,-1578,-870,8726,-186,-45,-36,4,37,157
0.7730000000001382,-1678,-830,8724,-54,489,-1,1,36,161
0.7950000000000728,-762,-652,7226,-48,215,107,9,32,164
0.8070000000000164,-1698,-696,7964,-190,-329,-161,0,40,157
0.8290000000001783,-1598,-738,8472,-190,-38,-27,4,35,162
0.8510000000001128,-1728,-804,7842,-223,135,-40,-3,44,161
0.8630000000000564,-1946,-1012,8406,-318,313,35,4,17,162
0.8849999999999909,-1220,-938,8086,-323,125,84,4,30,167
0.8970000000001619,-1364,-904,7888,-344,63,32,8,24,161
0.9190000000000964,-1194,-812,7752,-485,-143,-2,2,30,162
0.93100000000004,-1114,-978,7530,-615,-390,-14,3,24,170
0.9530000000002019,-1690,-1216,7476,-752,-372,-67,10,21,173
0.9750000000001364,-1100,-1354,8302,-852,-366,3,-7,27,167
0.98700000000008,-1142,-1546,7680,-962,-109,-27,-3,13,170
1.0090000000000146,-2248,-1940,8168,-1076,166,-45,-16,12,169
