Tiempo,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
0.0,110,112,8392,-9,-2,-11,-4,124,-265
0.021999999999934516,82,74,8376,-15,-4,-8,-6,120,-254
0.03400000000056025,76,120,8422,-12,-3,-7,-7,118,-251
0.056000000000494765,86,100,8404,-14,-3,-5,-10,110,-256
0.07800000000042928,116,90,8330,-15,2,-10,-15,120,-256
0.09000000000014552,62,142,8368,-13,-6,-9,-7,126,-260
0.11200000000008004,100,142,8372,-13,-2,-7,-10,117,-249
0.12399999999979627,122,106,8358,-10,-3,-7,-9,121,-248
0.14600000000064028,126,98,8376,-7,-2,-11,-7,118,-265
0.15800000000035652,52,102,8352,-10,-8,-6,-14,116,-253
0.18000000000029104,56,122,8380,-15,-2,-10,-10,120,-254
0.20200000000022555,90,88,8386,-10,-1,-12,-13,127,-252
0.2139999999999418,66,114,8378,-12,-1,-2,-8,117,-261
0.2359999999998763,96,104,8342,-15,-3,-8,-8,120,-261
0.24800000000050204,58,94,8354,-9,-1,-7,-15,117,-254
0.27000000000043656,66,132,8372,-16,0,-4,-12,116,-258
0.2820000000001528,130,146,8358,-13,-4,-13,-4,121,-255
0.3040000000000873,70,102,8368,-15,-2,-7,-16,108,-258
0.32600000000002183,138,104,8430,-12,2,-5,0,113,-260
0.33800000000064756,94,132,8366,-12,-8,-12,-10,115,-247
0.3600000000005821,82,78,8348,-6,-3,-9,1,125,-256
0.3720000000002983,90,96,8360,-16,-3,-9,-9,118,-258
0.39400000000023283,66,84,8306,-14,-5,-9,-7,118,-258
0.40599999999994907,76,130,8394,-12,-1,-8,-2,116,-255
0.4279999999998836,130,132,8412,-15,-2,-7,-13,122,-259
0.4400000000005093,88,94,8304,-13,0,-11,-13,120,-259
0.46200000000044383,122,128,8374,-9,-2,-6,-6,112,-264
0.48400000000037835,98,62,8370,-13,-5,-11,-9,113,-258
0.4960000000000946,88,52,8320,-14,0,-7,-16,121,-251
0.5180000000000291,82,114,8380,-10,2,-4,-10,110,-259
0.5300000000006548,96,142,8390,-13,-2,-11,-13,127,-256
0.5520000000005894,64,132,8380,-8,-2,-8,-13,120,-256
0.5640000000003056,102,124,8356,-11,-5,-8,-4,121,-260
0.5860000000002401,90,134,8376,-17,1,-13,-7,116,-258
0.6080000000001746,122,114,8338,-11,-3,-11,-14,118,-255
0.6199999999998909,54,146,8316,-9,-4,-10,-12,126,-262
0.6419999999998254,40,162,8384,-9,-1,-6,-12,121,-260
0.6540000000004511,106,110,8388,-8,1,-8,-8,120,-254
0.6760000000003856,78,100,8404,-12,-1,-12,1,122,-252
0.6880000000001019,52,122,8320,-10,-2,-7,-20,115,-264
0.7100000000000364,82,124,8360,-13,-2,-12,-12,126,-258
0.7319999999999709,118,124,8360,-16,3,-5,-14,121,-262
0.7489980000000287,76,108,8334,-6,-2,-4,-15,115,-254
0.761000000000422,100,98,8364,-12,-3,-8,-16,121,-248
0.7830000000003565,112,98,8376,-9,-5,-8,-4,108,-258
0.7950000000000728,62,76,8378,-14,-4,-8,-15,107,-256
0.8170000000000073,102,132,8350,-15,-3,-9,-8,120,-254
0.829000000000633,62,114,8348,-14,2,-9,-6,112,-264
0.8510000000005675,116,100,8354,-10,-4,-12,-19,118,-262
0.873000000000502,36,112,8396,-14,-5,-10,-7,106,-251
0.8850000000002183,116,94,8372,-8,2,-11,-18,120,-252
0.9070000000001528,86,144,8350,-11,-3,-11,-18,115,-254
0.918999999999869,104,118,8360,-11,4,-10,-14,113,-262
0.9409999999998035,98,94,8350,-14,0,-12,-10,122,-256
0.9530000000004293,62,76,8328,-12,0,-10,-12,116,-260
0.9750000000003638,108,86,8342,-11,-3,-2,-20,120,-254
0.98700000000008,46,120,8378,-12,-3,-5,-12,121,-255
1.0090000000000146,82,134,8360,-12,-6,-8,-9,129,-255
1.030999999999949,94,124,8370,-12,-3,-9,-6,125,-252
