Tiempo,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
0.0,1224,-576,8038,-30,-11,27,23,-165,103
0.011999999999943611,1148,-518,8090,-19,-27,-1,15,-170,94
0.033999999999991815,1136,-420,8088,-14,-38,22,15,-178,108
0.045999999999935426,1124,-436,8230,-2,-26,12,16,-184,112
0.06799999999998363,1166,-418,8240,12,27,22,18,-168,103
0.08999999999991815,1126,-478,8290,11,-4,-2,14,-167,109
0.10199999999997544,1188,-488,8432,11,9,4,14,-177,107
0.12399999999990996,1234,-594,8374,3,-2,10,19,-172,102
0.13599999999996726,1128,-678,8420,-6,41,14,19,-177,105
0.15800000000001546,1204,-660,8384,9,32,48,24,-179,107
0.16999999999995907,1200,-600,8136,4,6,41,23,-180,111
0.19200000000000728,1124,-526,8306,-9,29,0,18,-163,89
0.2039999999999509,1184,-394,8088,-1,29,34,18,-175,106
0.2259999999999991,1044,-544,8042,-15,-4,1,16,-179,102
0.2479999999999336,1074,-474,8154,-17,13,7,16,-179,109
0.2599999999999909,1208,-514,8140,3,50,30,24,-174,107
0.2819999999999254,1154,-610,8198,-6,52,3,19,-169,107
0.2939999999999827,1044,-578,8156,-20,-13,13,16,-174,109
0.31599999999991724,1164,-456,8172,-46,-23,-3,18,-170,106
0.32799999999997453,870,-434,8118,-33,-12,-12,20,-178,108
0.34999999999990905,1008,-312,8066,-27,33,8,23,-175,103
0.37199999999995725,1100,-438,8064,-14,31,20,23,-175,106
0.38400000000001455,1280,-570,8110,-20,37,-8,21,-177,109
0.40599999999994907,1198,-580,8150,-34,14,-13,26,-169,107
0.41800000000000637,1180,-526,8186,-16,-13,29,23,-173,99
0.4399999999999409,1376,-462,8128,-10,55,5,24,-174,102
0.4519999999999982,1190,-534,8076,0,-30,-28,26,-177,98
0.4739999999999327,1228,-504,7958,-8,-22,8,19,-179,112
0.4959999999999809,1224,-506,8032,23,16,-8,24,-182,102
0.5079999999999245,1072,-512,8090,41,47,16,25,-180,111
0.5299999999999727,1056,-550,8120,56,-37,22,31,-174,112
0.5419999999999163,1090,-494,8164,49,5,10,18,-178,108
0.5639999999999645,956,-516,8156,31,-32,-16,18,-173,106
0.5760000000000218,1090,-384,8214,5,25,3,23,-173,103
0.5979999999999563,954,-452,8184,-9,4,-31,18,-173,108
0.6100000000000136,1080,-496,8098,-26,13,-40,19,-182,95
0.6319999999999482,1014,-544,8172,-27,-10,-27,23,-168,106
0.6539999999999964,1022,-570,8276,-30,8,-44,20,-180,101
0.66599999999994,1104,-608,8230,-35,-28,-11,16,-169,105
0.6879999999999882,1370,-336,8392,-47,-23,-9,20,-186,118
0.6999999999999318,1130,-698,8276,-32,12,-22,26,-177,102
0.72199999999998,1238,-616,8208,-63,5,-20,32,-186,103
0.7339999999999236,1088,-448,8164,-37,-71,0,27,-178,103
0.7559999999999718,1176,-356,7998,-9,-16,12,20,-178,103
0.77800000000002,1142,-300,8006,7,18,-7,25,-175,103
0.7899999999999636,1020,-454,8196,19,7,-6,24,-174,109
0.8120000000000118,1114,-428,8010,8,4,33,25,-173,103
0.8239999999999554,1292,-286,8078,-17,-78,0,23,-178,101
0.8460000000000036,1040,-336,8098,-6,-19,-33,19,-174,102
0.8579999999999472,1062,-376,8096,0,5,-20,25,-175,108
0.8799999999999955,1022,-384,8102,10,-23,-8,24,-174,114
