Tiempo,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
0.0,586,-486,8474,-28,47,-10,-165,-183,-261
0.021999999999934516,552,-456,8322,5,-73,-11,-158,-186,-264
0.0340000000001055,452,-482,8192,8,-60,-10,-161,-183,-273
0.05600000000004002,552,-464,8198,-28,37,-5,-168,-178,-256
0.06799999999975626,602,-420,8256,-17,11,-9,-171,-187,-258
0.09000000000014552,504,-490,8320,-15,4,-6,-167,-182,-262
0.10199999999986176,546,-482,8336,-26,38,-5,-162,-182,-258
0.12399999999979627,526,-458,8392,-11,-12,-9,-162,-182,-258
0.1459999999997308,506,-462,8356,-6,-15,-5,-167,-179,-260
0.15799999999990177,582,-486,8356,-14,-3,-10,-165,-188,-273
0.1799999999998363,608,-438,8326,-5,-22,-5,-165,-188,-271
0.19200000000000728,548,-490,8314,-15,13,-10,-171,-184,-258
0.2139999999999418,600,-436,8326,-20,9,-4,-170,-180,-261
0.22600000000011278,562,-484,8286,-14,0,-7,-168,-188,-261
0.2480000000000473,558,-452,8354,-18,13,-3,-171,-184,-260
0.25999999999976353,534,-470,8390,-11,-15,-11,-168,-183,-266
0.2820000000001528,586,-462,8356,-9,-19,-8,-168,-183,-256
0.3040000000000873,546,-424,8352,-20,8,-12,-174,-187,-262
0.31599999999980355,576,-472,8336,-10,-10,-8,-173,-180,-259
0.33799999999973807,534,-474,8334,-12,-8,-8,-168,-188,-266
0.34999999999990905,538,-434,8326,-15,20,-6,-164,-184,-272
0.37199999999984357,556,-504,8346,-14,-2,-11,-165,-191,-256
0.38400000000001455,580,-476,8316,-9,-13,-9,-167,-192,-265
0.4109979999998359,564,-454,8356,-19,9,-11,-161,-188,-261
0.42299999999977445,570,-466,8292,-5,-22,-10,-171,-177,-258
0.44499999999970896,620,-468,8320,-15,-5,-8,-162,-189,-272
0.45699999999987995,570,-450,8310,-16,4,-4,-159,-187,-258
0.47899999999981446,544,-440,8302,-9,-3,-11,-161,-170,-254
0.49099999999998545,582,-414,8328,-14,3,-10,-162,-189,-260
0.51299999999992,572,-440,8306,-10,-8,-8,-168,-175,-268
0.525000000000091,550,-502,8360,-12,6,-5,-169,-187,-258
0.5470000000000255,584,-468,8390,-11,1,-5,-176,-187,-262
0.56899999999996,574,-456,8332,-10,-4,-7,-164,-184,-260
0.581000000000131,588,-494,8350,-12,2,-9,-168,-188,-254
0.6030000000000655,518,-470,8352,-13,-6,-7,-159,-177,-267
0.6149999999997817,596,-458,8308,-11,3,-9,-162,-184,-253
0.6369999999997162,594,-452,8334,-9,-6,-9,-174,-182,-274
0.6489999999998872,524,-446,8336,-12,7,-7,-169,-174,-270
0.6709999999998217,516,-512,8340,-7,-6,-5,-158,-186,-264
0.6929999999997563,580,-448,8328,-9,-4,-4,-174,-184,-262
0.7049999999999272,596,-428,8352,-11,-2,-9,-174,-189,-262
0.7269999999998618,572,-466,8376,-11,-2,-6,-170,-180,-266
0.7390000000000327,562,-464,8322,-12,7,-9,-168,-178,-268
0.7609999999999673,540,-446,8360,-12,-3,-7,-163,-188,-252
