Tiempo,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
0.0,610,-454,8530,-22,43,-5,-156,-178,-264
0.011999999999943611,638,-450,8440,-2,-15,-4,-167,-182,-270
0.03399999999987813,542,-472,8374,1,-43,-11,-164,-182,-262
0.04599999999982174,526,-466,8364,-14,8,-7,-178,-180,-268
0.06799999999998363,538,-476,8330,-12,-4,-6,-167,-179,-262
0.08999999999991815,550,-454,8276,-4,-14,-7,-164,-174,-265
0.10199999999986176,580,-426,8356,-22,23,-12,-170,-175,-268
0.12399999999979627,564,-480,8386,-7,-7,-9,-169,-174,-267
0.13599999999996726,520,-418,8366,-11,3,-5,-170,-183,-256
0.15799999999990177,566,-444,8354,-16,10,-11,-165,-180,-264
0.16999999999984539,510,-452,8362,-1,-18,-11,-155,-182,-251
0.19200000000000728,572,-444,8318,-10,2,-3,-164,-179,-262
0.2039999999999509,544,-448,8330,-11,-2,-13,-180,-180,-256
0.2259999999998854,526,-460,8336,-11,-9,-12,-169,-184,-265
0.24799999999981992,514,-418,8348,-13,16,-10,-174,-187,-265
0.2599999999999909,524,-462,8394,-9,-4,-7,-170,-183,-273
0.2819999999999254,508,-464,8356,-9,-5,-6,-181,-182,-265
0.29399999999986903,558,-474,8334,-12,16,-8,-170,-188,-261
0.31599999999980355,536,-454,8354,-5,-11,-9,-168,-180,-256
0.32799999999997453,558,-478,8312,-10,1,-8,-168,-183,-266
0.34999999999990905,514,-502,8334,-18,9,-6,-174,-174,-262
0.37199999999984357,532,-462,8318,-6,-14,-8,-159,-184,-260
0.3839999999997872,540,-486,8342,-16,2,-7,-171,-182,-260
0.40599999999994907,542,-494,8380,-12,10,-6,-167,-179,-255
0.4179999999998927,546,-440,8334,-6,-4,-7,-165,-186,-254
0.4399999999998272,542,-430,8356,-14,7,-8,-167,-179,-260
0.4519999999999982,546,-474,8380,-9,0,-6,-167,-182,-265
0.4739999999999327,570,-424,8352,-13,-8,-8,-171,-189,-253
0.48628499999995256,558,-434,8336,-14,5,-10,-169,-184,-260
0.5079999999998108,588,-440,8366,-6,-7,-5,-167,-184,-270
0.5299999999999727,552,-494,8342,-11,1,-8,-169,-179,-260
0.5419999999999163,548,-486,8350,-10,7,-10,-165,-180,-266
0.5639999999998508,532,-438,8376,-10,-10,-10,-170,-180,-264
0.5759999999997945,524,-412,8310,-14,4,-14,-174,-182,-258
