Tiempo,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
0.0,-440.91797,-700.19531,605.46875,-0.73171,2.31707,0.24390,10.80,-92.25,8.85
0.002686000000039712,-442.87109,-711.91406,593.26172,-0.97561,1.46341,0.97561,13.35,-92.25,9.90
0.005249000000048909,-447.75391,-705.56641,598.14453,-0.85366,-0.85366,2.31707,13.35,-92.25,9.90
0.007935000000088621,-447.26562,-705.07812,593.26172,-0.85366,-0.36585,-2.86585,13.35,-92.25,9.90
0.010620000000017171,-460.93750,-694.33594,592.28516,-0.36585,2.50000,0.67073,13.35,-92.25,9.90
0.01324499999998352,-459.47266,-699.21875,600.58594,-2.01220,1.76829,0.79268,13.35,-92.25,9.90
0.01599199999998291,-458.98437,-704.58984,597.16797,-0.97561,0.54878,-0.67073,13.35,-92.25,9.90
0.018737999999984822,-455.56641,-688.96484,592.77344,-0.54878,1.52439,2.13415,13.35,-92.25,9.90
0.021424000000024535,-458.00781,-703.12500,596.67969,-0.85366,0.30488,-0.91463,13.35,-92.25,9.90
0.02410900000006677,-457.51953,-703.61328,596.67969,-2.68293,-0.12195,-3.96341,13.35,-92.25,9.90
0.02673400000003312,-460.44922,-691.89453,596.19141,0.30488,0.85366,0.67073,13.35,-92.25,9.90
0.029480000000035034,-454.58984,-707.51953,611.81641,1.09756,-0.79268,-2.50000,13.35,-92.25,9.90
0.03210500000000138,-455.56641,-703.61328,604.00391,0.48780,1.21951,0.91463,13.35,-92.25,9.90
0.034851000000003296,-443.84766,-695.31250,604.49219,-0.12195,0.24390,-2.01220,11.40,-91.95,9.45
0.03753700000004301,-448.73047,-695.80078,600.09766,-1.40244,1.15854,0.24390,11.40,-91.95,9.45
0.04022300000008272,-442.87109,-710.44922,598.63281,0.00000,0.85366,-1.70732,11.40,-91.95,9.45
0.04290800000001127,-448.24219,-707.03125,609.37500,0.00000,-0.42683,2.68293,12.30,-92.55,8.10
0.04565500000001066,-440.42969,-691.40625,598.63281,0.12195,-0.91463,-3.96341,12.30,-92.55,8.10
0.04827899999997953,-448.24219,-693.35937,598.63281,-0.48780,-0.18293,0.24390,12.30,-92.55,8.10
0.050965000000019245,-447.75391,-686.03516,604.49219,-1.58537,0.42683,-0.18293,12.30,-92.55,8.10
0.05371100000002116,-445.80078,-710.44922,609.86328,-1.82927,0.30488,-0.67073,12.30,-91.80,8.85
0.05645800000002055,-428.71094,-692.87109,611.81641,-1.82927,-0.73171,-0.54878,12.30,-91.80,8.85
0.05920400000002246,-455.56641,-710.44922,610.35156,-0.91463,-0.97561,-2.43902,12.30,-91.80,8.85
