Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.02200,0.43099,0.12630,24.67606
0.03400,0.66890,0.14811,31.18377
0.05600,1.01632,0.17727,42.64235
0.07800,1.27905,0.14892,53.01072
0.09000,1.43419,0.17160,57.69691
0.11200,1.68579,0.15878,65.68253
0.12400,1.76555,0.12639,69.23820
0.14600,1.88557,0.07061,74.98920
0.15800,1.93715,0.10368,77.73376
0.18000,2.04213,0.16001,81.95819
0.20200,2.08103,0.15023,85.45180
0.21400,2.11796,0.16588,86.84910
0.23600,2.16116,0.14362,89.10371
0.24800,2.17534,0.16648,90.31447
0.27000,2.24459,0.19337,92.11189
0.28200,2.28868,0.14976,92.62473
0.30400,2.29187,0.16994,94.25389
0.32600,2.29746,0.09010,94.54947
0.33800,2.32436,0.08411,94.99031
0.36000,2.29897,0.09798,95.01545
0.37200,2.29433,0.09765,95.35900
0.39400,2.27530,0.13008,95.80406
0.40600,2.30145,0.13863,95.85094
0.42800,2.34152,0.07450,96.50663
0.44000,2.33484,0.08089,96.79930
0.46200,2.37261,0.03975,96.93777
0.48400,2.30683,0.03553,97.20865
0.49600,2.27082,0.04518,97.50068
0.51800,2.29916,0.07153,97.73653
0.53000,2.32987,0.07010,97.86906
0.55200,2.37419,0.11115,98.13123
0.56400,2.38642,0.09924,97.98951
0.58600,2.41072,0.10392,97.94721
0.60800,2.41398,0.05998,98.26388
0.62000,2.44090,0.08935,98.31504
0.64200,2.50201,0.15838,98.43058
0.65400,2.49301,0.14353,98.38107
0.67600,2.45958,0.15265,97.83704
0.68800,2.46382,0.17509,98.19446
0.71000,2.46699,0.17306,98.31567
0.73200,2.46531,0.13204,98.53639
0.74900,2.46040,0.14178,98.74161
0.76100,2.44532,0.13039,98.87195
0.78300,2.42365,0.09393,98.57683
0.79500,2.39575,0.11155,98.75009
0.81700,2.41712,0.09410,98.60964
0.82900,2.41597,0.11636,98.51669
0.85100,2.40197,0.07994,98.95023
0.87300,2.39783,0.14299,98.80770
0.88500,2.38900,0.12532,98.98280
0.90700,2.42992,0.12545,99.30997
0.91900,2.43184,0.11885,99.36619
0.94100,2.40392,0.10962,99.22198
0.95300,2.38202,0.12810,99.22295
0.97500,2.35739,0.10153,99.54244
0.98700,2.36555,0.12764,99.49608
1.00900,2.39521,0.12719,99.25590
1.03100,2.40856,0.11730,98.94576
1.04300,2.40558,0.10574,99.05613
1.06500,2.43086,0.14948,99.13680
1.07700,2.43075,0.14794,99.06059
1.09900,2.39569,0.17661,98.86370
1.11100,2.37890,0.18654,98.79387
1.13300,2.37424,0.14991,98.96465
1.15500,2.39971,0.15770,99.01096
1.16700,2.37372,0.13129,99.32836
1.18900,2.35932,0.11858,99.23049
1.20100,2.36588,0.14072,99.24239
1.22300,2.37659,0.15864,99.25864
1.23500,2.38296,0.15041,99.24648
1.25700,2.41032,0.14930,99.13828
1.27900,2.36828,0.11641,99.26366
1.29100,2.38282,0.12298,99.15164
1.31300,2.38457,0.15847,98.92674
1.32500,2.38743,0.14147,98.88564
1.34700,2.41347,0.12103,98.80486
1.35900,2.43628,0.13072,98.76759
1.38100,2.43377,0.11204,98.82899
1.39300,2.42390,0.11168,98.92614
1.41500,2.41974,0.06965,99.16370
1.43700,2.39003,0.07270,99.02686
1.44900,2.38466,0.07922,98.93728
1.47100,2.39225,0.06044,98.86503
1.48300,2.37931,0.06300,98.82582
1.50500,2.39270,0.10073,98.77705
1.51700,2.39242,0.10315,98.70766
1.53900,2.38368,0.06050,98.54486
1.56100,2.40289,0.08655,98.50792
1.57300,2.37799,0.10216,98.61601
1.59500,2.39158,0.09324,98.68433
1.60700,2.39070,0.10083,98.47731
1.62900,2.39628,0.09935,98.49577
1.64100,2.39927,0.12586,98.60612
1.66300,2.38521,0.12119,98.54044
1.67500,2.37726,0.10874,98.72223
1.69700,2.42217,0.11053,98.47951
1.71900,2.42566,0.13170,98.30595
1.73100,2.41862,0.13221,98.40152
1.75300,2.42693,0.11862,98.75380
1.76500,2.43469,0.11897,98.89075
1.78700,2.39623,0.12238,99.07574
1.79900,2.39546,0.10529,99.03767
1.82100,2.41467,0.09999,98.79415
1.84300,2.26448,1.64132,99.58296
1.85500,0.16162,1.93706,99.07175
1.87700,0.77410,0.78077,99.65718
1.88900,0.61465,1.21404,99.68234
1.91100,1.02204,-1.59727,100.70694
1.92300,0.73093,-2.23924,101.09852
1.94500,-0.23758,-1.68141,102.13440
1.96700,-0.00465,1.64022,103.10587
1.97900,0.10397,2.63973,103.69637
2.00100,1.37741,5.87998,104.36112
2.01300,2.15843,8.18161,105.05741
2.03500,3.60707,13.62567,107.22038
2.04700,4.34733,15.28606,108.38181
2.06900,5.66870,16.12750,110.60027
2.09100,6.87932,14.07585,112.93886
2.10300,7.63158,11.13158,114.68599
2.12500,8.66854,6.39919,118.24252
2.13700,9.38024,5.88582,119.71858
2.15900,10.74643,6.28845,122.14634
2.17100,11.73903,7.75922,123.46162
2.19300,13.11574,8.96850,126.13071
