Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.02200,0.11320,-0.10335,24.68528
0.03400,0.19070,-0.15041,31.01250
0.05600,0.28691,-0.23945,42.10520
0.07800,0.34807,-0.35134,52.11216
0.09000,0.41186,-0.36177,56.44025
0.11200,0.51769,-0.42606,63.87528
0.12400,0.53593,-0.47501,67.13013
0.14600,0.55869,-0.55781,72.26300
0.15800,0.56714,-0.54045,74.85444
0.18000,0.60162,-0.50912,78.68738
0.20200,0.58900,-0.53244,81.97553
0.21400,0.60151,-0.52393,83.16992
0.23600,0.60506,-0.55537,85.10352
0.24800,0.60276,-0.53861,86.30840
0.27000,0.64168,-0.52046,87.98659
0.28200,0.67169,-0.56373,88.30520
0.30400,0.65682,-0.54971,90.02655
0.32600,0.65057,-0.62359,89.79160
0.33800,0.66913,-0.63143,90.20734
0.36000,0.63519,-0.62181,89.85230
0.37200,0.62600,-0.62342,90.18921
0.39400,0.59834,-0.59766,90.55444
0.40600,0.61991,-0.59008,90.47289
0.42800,0.65350,-0.64863,91.29933
0.44000,0.64358,-0.64428,91.66026
0.46200,0.67530,-0.68266,91.64739
0.48400,0.61131,-0.68713,91.90623
0.49600,0.57548,-0.67899,92.32818
0.51800,0.59967,-0.65440,92.55999
0.53000,0.62727,-0.65584,92.76009
0.55200,0.66661,-0.61860,93.12792
0.56400,0.67675,-0.63017,92.88347
0.58600,0.69721,-0.62602,92.74986
0.60800,0.69815,-0.66759,93.22263
0.62000,0.72137,-0.64187,93.30513
0.64200,0.77702,-0.57835,93.47411
0.65400,0.76880,-0.59140,93.39269
0.67600,0.73793,-0.58196,92.54462
0.68800,0.74020,-0.56230,93.09474
0.71000,0.74168,-0.56470,93.30349
0.73200,0.73874,-0.60185,93.64449
0.74900,0.73306,-0.59357,93.95265
0.76100,0.71876,-0.60405,94.16408
0.78300,0.69867,-0.63735,93.60141
0.79500,0.67239,-0.62108,93.85225
0.81700,0.69050,-0.63785,93.64066
0.82900,0.68853,-0.61748,93.46304
0.85100,0.67510,-0.65137,94.15046
0.87300,0.67088,-0.59324,93.85616
0.88500,0.66279,-0.60904,94.15038
0.90700,0.69929,-0.60974,94.67950
0.91900,0.70067,-0.61548,94.76070
0.94100,0.67348,-0.62403,94.55904
0.95300,0.65217,-0.60738,94.55617
0.97500,0.62823,-0.63193,95.09033
0.98700,0.63541,-0.60788,95.02727
1.00900,0.66187,-0.60899,94.70023
1.03100,0.67363,-0.61802,94.24194
1.04300,0.67018,-0.62910,94.39561
1.06500,0.69268,-0.58983,94.53472
1.07700,0.69177,-0.59126,94.39617
