Time,Phi (degrees),Theta (degrees)
0.00000,0.00000,0.00000
0.02200,0.09060,-0.12804
0.03400,0.16809,-0.17646
0.05600,0.26048,-0.26915
0.07800,0.31747,-0.37998
0.09000,0.38444,-0.38955
0.11200,0.49187,-0.45481
0.12400,0.51171,-0.50101
0.14600,0.53583,-0.57940
0.15800,0.54729,-0.55983
0.18000,0.58692,-0.52568
0.20200,0.57666,-0.54529
0.21400,0.59065,-0.53551
0.23600,0.59588,-0.56470
0.24800,0.59478,-0.54693
0.27000,0.63556,-0.52773
0.28200,0.66613,-0.57032
0.30400,0.65258,-0.55482
0.32600,0.64732,-0.62777
0.33800,0.66620,-0.63526
0.36000,0.63281,-0.62506
0.37200,0.62386,-0.62634
0.39400,0.59670,-0.59999
0.40600,0.61843,-0.59218
0.42800,0.65189,-0.65063
0.44000,0.64215,-0.64607
0.46200,0.67415,-0.68417
0.48400,0.61037,-0.68828
0.49600,0.57466,-0.67993
0.51800,0.59906,-0.65528
0.53000,0.62672,-0.65671
0.55200,0.66628,-0.61949
0.56400,0.67647,-0.63098
0.58600,0.69698,-0.62672
0.60800,0.69780,-0.66823
0.62000,0.72107,-0.64250
0.64200,0.77687,-0.57900
0.65400,0.76867,-0.59203
0.67600,0.73775,-0.58277
0.68800,0.74013,-0.56308
0.71000,0.74163,-0.56540
0.73200,0.73859,-0.60248
0.74900,0.73296,-0.59415
0.76100,0.71865,-0.60458
0.78300,0.69874,-0.63795
0.79500,0.67250,-0.62160
0.81700,0.69063,-0.63830
0.82900,0.68862,-0.61792
0.85100,0.67498,-0.65172
0.87300,0.67063,-0.59360
0.88500,0.66252,-0.60938
0.90700,0.69907,-0.61023
0.91900,0.70046,-0.61597
0.94100,0.67332,-0.62454
0.95300,0.65202,-0.60787
0.97500,0.62800,-0.63229
0.98700,0.63519,-0.60823
1.00900,0.66168,-0.60926
1.03100,0.67351,-0.61825
1.04300,0.67006,-0.62933
1.06500,0.69262,-0.59010
1.07700,0.69173,-0.59154
1.09900,0.65906,-0.56395
1.11100,0.64342,-0.55435
1.13300,0.63618,-0.58902
1.15500,0.65866,-0.58221
1.16700,0.63433,-0.60589
1.18900,0.62025,-0.61772
1.20100,0.62580,-0.59779
1.22300,0.63489,-0.58128
1.23500,0.64087,-0.58850
1.25700,0.66435,-0.58971
1.27900,0.62537,-0.61935
1.29100,0.63822,-0.61352
1.31300,0.63960,-0.58023
1.32500,0.64170,-0.59579
1.34700,0.66494,-0.61498
1.35900,0.68500,-0.60647
1.38100,0.68201,-0.62365
1.39300,0.67213,-0.62380
1.41500,0.66569,-0.66322
1.43700,0.63778,-0.65997
