Time,Phi (degrees),Theta (degrees)
0.0,0.51,-0.501
0.021999999999934516,0.507,-0.538
0.03400000000056025,0.698,-0.525
0.056000000000494765,0.688,-0.563
0.07800000000042928,0.645,-0.708
0.09000000000014552,0.847,-0.533
0.11200000000008004,0.924,-0.627
0.12399999999979627,0.802,-0.756
0.14600000000064028,0.72,-0.822
0.15800000000035652,0.707,-0.534
0.18000000000029104,0.786,-0.441
0.20200000000022555,0.671,-0.548
0.2139999999999418,0.738,-0.488
0.2359999999998763,0.723,-0.594
0.24800000000050204,0.674,-0.473
0.27000000000043656,0.816,-0.46
0.2820000000001528,0.93,-0.727
0.3040000000000873,0.787,-0.574
0.32600000000002183,0.737,-0.8
0.33800000000064756,0.84,-0.704
0.3600000000005821,0.651,-0.617
0.3720000000002983,0.655,-0.617
0.39400000000023283,0.607,-0.517
0.40599999999994907,0.78,-0.518
0.4279999999998836,0.854,-0.746
0.4400000000005093,0.726,-0.66
0.46200000000044383,0.819,-0.769
0.48400000000037835,0.573,-0.709
0.4960000000000946,0.439,-0.645
0.5180000000000291,0.649,-0.593
0.5300000000006548,0.848,-0.632
0.5520000000005894,0.882,-0.511
0.5640000000003056,0.862,-0.628
0.5860000000002401,0.896,-0.62
0.6080000000001746,0.826,-0.756
0.6199999999998909,0.938,-0.518
0.6419999999998254,1.043,-0.366
0.6540000000004511,0.863,-0.588
0.6760000000003856,0.75,-0.553
0.6880000000001019,0.806,-0.432
0.7100000000000364,0.833,-0.512
0.7319999999999709,0.843,-0.697
0.7489980000000287,0.781,-0.589
0.761000000000422,0.712,-0.649
0.7830000000003565,0.686,-0.722
0.7950000000000728,0.582,-0.538
0.8170000000000073,0.782,-0.639
0.829000000000633,0.782,-0.507
0.8510000000005675,0.722,-0.687
0.873000000000502,0.748,-0.413
0.8850000000002183,0.683,-0.649
0.9070000000001528,0.873,-0.613
0.918999999999869,0.833,-0.675
0.9409999999998035,0.716,-0.674
0.9530000000004293,0.596,-0.521
0.9750000000003638,0.592,-0.658
0.98700000000008,0.733,-0.445
1.0090000000000146,0.849,-0.518
1.030999999999949,0.849,-0.596
1.0430000000005748,0.758,-0.68
1.0650000000005093,0.833,-0.454
1.0770000000002256,0.819,-0.538
1.09900000000016,0.65,-0.475
1.1109999999998763,0.594,-0.46
1.1329999999998108,0.704,-0.654
1.1550000000006548,0.822,-0.572
1.167000000000371,0.592,-0.779
1.1890000000003056,0.632,-0.696
1.2010000000000218,0.725,-0.451
1.2229999999999563,0.761,-0.46
1.235000000000582,0.814,-0.572
1.2570000000005166,0.899,-0.601
1.279000000000451,0.637,-0.704
1.2910000000001673,0.812,-0.582
1.3130000000001019,0.749,-0.441
1.324999999999818,0.81,-0.634
1.3469999999997526,0.886,-0.666
1.3590000000003783,1.01,-0.551
1.3810000000003129,0.867,-0.625
1.393000000000029,0.721,-0.647
1.4149999999999636,0.753,-0.829
1.4369999999998981,0.656,-0.662
1.4490000000005239,0.681,-0.582
1.4710000000004584,0.742,-0.697
1.4830000000001746,0.614,-0.641
1.5050000000001091,0.744,-0.472
1.5169999999998254,0.749,-0.535
1.53899999999976,0.717,-0.816
1.561000000000604,0.849,-0.564
1.5730000000003201,0.595,-0.427
1.5950000000002547,0.726,-0.577
1.606999999999971,0.75,-0.541
1.6289999999999054,0.771,-0.581
1.6410000000005311,0.788,-0.356
1.6630000000004657,0.68,-0.508
1.675000000000182,0.657,-0.669
1.6970000000001164,0.956,-0.62
1.719000000000051,0.866,-0.473
1.7309999999997672,0.752,-0.577
1.7530000000006112,0.82,-0.618
1.7650000000003274,0.899,-0.617
1.787000000000262,0.622,-0.576
1.7989999999999782,0.693,-0.77
1.8209999999999127,0.885,-0.684
1.8429999999998472,-0.045,8.971
1.855000000000473,-27.738,7.018
1.8770000000004075,-6.218,-4.763
1.8890000000001237,-3.154,2.808
1.9110000000000582,1.581,-8.503
1.9229999999997744,-2.231,-3.395
1.9450000000006185,-2.71,-3.563
1.967000000000553,-3.276,3.591
1.9790000000002692,-3.928,8.613
2.0010000000002037,-1.112,5.868
2.01299999999992,0.433,6.998
2.0349999999998545,-1.552,14.3
2.04700000000048,-0.412,20.836
2.0690000000004147,1.623,15.605
2.0910000000003492,3.982,13.453
2.1030000000000655,7.697,8.052
2.125,7.437,4.735
2.1370000000006257,7.974,3.975
2.1590000000005602,9.511,2.43
2.1710000000002765,11.681,6.071
2.193000000000211,11.832,5.177
2.2049999999999272,12.913,8.627
2.2269999999998618,12.63,9.004
2.2489999999997963,13.751,6.897
2.261000000000422,13.85,5.626
2.2830000000003565,15.312,8.973
2.2950000000000728,16.938,9.942
2.3170000000000073,18.148,11.766
2.329000000000633,15.174,18.383
2.3510000000005675,21.817,17.876
2.3630000000002838,22.268,11.484
2.3850000000002183,23.81,6.224
2.407000000000153,25.764,10.194
2.418999999999869,27.067,8.749
2.4409999999998035,32.588,0.169
2.4530000000004293,29.768,9.198
2.475000000000364,33.079,6.615
