Time,Phi (degrees),Theta (degrees)
0.0,0.12637507373928672,0.05084898660438941
0.011999999999943611,0.2501376061534108,0.14039466463989816
0.03399999999987813,0.394993040419887,0.25863157813801513
0.04628499999989799,0.5330303379307686,0.4129997404094674
0.06799999999998363,0.6302413215045357,0.4436579686975754
0.08999999999991815,0.7411474225326293,0.42456022509148283
0.10199999999986176,0.8555382778429141,0.40666178170049927
0.12399999999979627,0.9512327745380937,0.38059953878492375
0.13599999999996726,1.078990103371727,0.4632760398725265
0.15799999999990177,1.228528132367873,0.5855759706826158
0.16999999999984539,1.335182811368736,0.5630892233724584
0.19200000000000728,1.4170300038035617,0.5299411515159391
0.2139999999999418,1.5616592307518373,0.661767410307456
0.2259999999998854,1.6982963088022944,0.7407373566314673
0.24799999999981992,1.8202325116626406,0.6508486226557954
0.2599999999999909,1.9059534587553306,0.5436913571684603
0.2819999999999254,2.0174260976327,0.28816127153862225
0.29399999999986903,2.1049267647531864,0.1921197595348752
0.31599999999980355,2.2034730851038655,-0.02542098293251666
0.33799999999996544,2.276517273155353,-0.3493619532065091
0.34999999999990905,2.350848753865453,-0.5889133556301249
0.37199999999984357,2.4155186984213763,-1.0992343201020731
0.38400000000001455,2.462507309797007,-1.4175049414587313
0.40599999999994907,2.511435968794128,-2.1497562160115398
0.4179999999998927,2.606306712359686,-2.5600849778292933
0.4399999999998272,2.8292567386376803,-3.4397422582734953
0.4519999999999982,3.0023333463936557,-4.046913563731547
0.4739999999999327,3.250130290205876,-5.337644671640017
0.4959999999998672,3.4428210159264614,-6.754406868867698
0.5079999999998108,3.5866758595425496,-7.592821087791243
0.5299999999999727,3.789657812101928,-8.939335187110373
0.5419999999999163,3.9344730338574494,-9.490964138094052
0.5639999999998508,4.048266342129867,-10.558297145768499
0.5860000000000127,4.132172961319814,-11.425786205197129
0.5979999999999563,4.215748017624546,-12.016372025656665
0.6199999999998909,4.38548787587649,-12.931236397557846
0.6319999999998345,4.552487133606078,-13.347287525166237
0.6539999999999964,4.756032421510484,-14.070633883018795
0.66599999999994,4.852039328357565,-14.455038361149352
0.6879999999998745,4.905823953211574,-15.46417557928801
0.6999999999998181,4.951125129794104,-15.927483308116717
0.72199999999998,4.951124297745784,-16.936173938151317
0.7439999999999145,4.9831147496566555,-18.03483367912636
0.7559999999998581,5.03134524372857,-18.610243276063375
0.7779999999997926,4.93276415277101,-19.731630074092116
0.7899999999999636,4.8881776891583835,-20.42412570887712
0.8119999999998981,4.611875100368385,-21.860796891888963
0.8239999999998417,4.46802471333231,-22.81987437609231
0.8460000000000036,4.1388355027343975,-24.659431039604556
0.8579999999999472,3.973942235093164,-25.63708189387425
0.8799999999998818,3.6669917744602163,-27.318322778801726
0.9019999999998163,3.2832099589570487,-28.41754776661259
0.9139999999999873,3.0753947515398994,-28.901984535898467
0.9359999999999218,2.6747126315150274,-29.774791553657135
0.9479999999998654,2.470928719741743,-30.31219874880571
0.9699999999997999,1.985386666812783,-31.516499958323895
0.9819999999999709,1.629556920860705,-32.348918773811874
1.0039999999999054,1.0207654704136906,-33.8489177261788
1.02599999999984,0.4147396209775626,-35.363717784604475
1.038000000000011,0.08265044951236315,-36.01896803955805
1.0599999999999454,-0.5794928720718262,-37.00809343807434
1.071999999999889,-0.9348183466051811,-37.57992355927566
1.0939999999998236,-1.5889787643574733,-38.65351448386617
1.1059999999999945,-1.9667049110023078,-39.36595127735049
1.127999999999929,-2.8011887409364657,-40.74351479567057
1.1499999999998636,-3.747395918698233,-42.310484116370766
1.1619999999998072,-4.300418270260775,-42.98324503021278
1.183999999999969,-5.635565699950471,-44.06950384766836
1.1959999999999127,-6.373523710822544,-44.48625365012082
1.2179999999998472,-7.665751497158099,-45.43938797690553
1.2300000000000182,-8.411326916420638,-46.09032717739661
1.2519999999999527,-9.610705855355528,-47.25857579521559
1.2639999999998963,-10.216747406002957,-47.792781476114136
1.2859999999998308,-11.286220919323377,-48.68196708773149
1.3079999999999927,-12.385477059425353,-49.602506697348396
1.3199999999999363,-13.170387848975256,-50.27760871086548
1.3419999999998709,-15.006718635931916,-51.83008816598585
1.3539999999998145,-16.09093666122124,-52.83471808121363
1.3759999999999764,-18.26278233520735,-54.76975613338763
1.38799999999992,-19.171357002220866,-55.37064850528229
1.4099999999998545,-19.895191481574784,-55.46957748591559
1.4320000000000164,-20.36706819791255,-55.19551406306829
1.44399999999996,-20.475464734224154,-54.854614944905315
1.4659999999998945,-20.86377535955442,-54.055688640660904
1.477999999999838,-21.07804981521001,-53.64146319169013
1.5,-21.564739831709545,-52.917686921629965
1.5119999999999436,-21.884965319546286,-52.64908136012007
1.5339999999998781,-22.663119114694396,-52.27009219359857
1.5459999999998217,-23.073305131223254,-51.95202260789413
1.5679999999999836,-23.839242790581213,-51.36327334241656
1.5899999999999181,-24.56198865969149,-50.514341259530646
1.6019999999998618,-24.924628049836397,-49.96588332870636
1.6239999999997963,-25.541069216137103,-48.90321616643039
1.6359999999999673,-25.94152120667107,-48.4356130120587
1.6579999999999018,-26.702918124171784,-47.39607691200612
1.6799999999998363,-27.346532994279997,-46.16370976282379
1.6920000000000073,-27.550956471822648,-45.397858722438855
1.7139999999999418,-28.0548573878973,-44.07658532848531
1.7259999999998854,-28.368166168407868,-43.48103813722475
1.74799999999982,-28.948772841656098,-42.49212224818005
1.759999999999991,-29.208449082257708,-41.706144628512206
1.7819999999999254,-29.8651910240701,-40.63998010442757
1.793999999999869,-30.07638359134255,-40.00989189941868
1.8109979999999268,-30.189690271521258,-39.07246152247358
1.8329999999998563,-30.5409255277013,-38.0510777151189
1.8550000000000182,-31.115076541664486,-37.43280662586091
1.8669999999999618,-31.354979863753695,-36.829754833644955
1.8889999999998963,-31.958734752153223,-35.70508177989077
1.90099999999984,-32.16307096543601,-34.92085922691159
1.9230000000000018,-32.31444913477327,-33.803358011215686
1.9349999999999454,-32.052770915814996,-33.048280484497226
1.95699999999988,-31.46451539931044,-31.517348867681036
1.9789999999998145,-30.93703584397226,-29.89237660517633
1.9909999999999854,-30.747431070016773,-29.060261922768237
2.01299999999992,-30.37060603766545,-27.884552458958144
2.0249999999998636,-30.18518308817751,-27.509028409714926
2.046999999999798,-29.627919420860238,-26.564123782360443
2.058999999999969,-29.397383789955114,-25.868801077053096
2.0809999999999036,-28.765950112778278,-24.22481950805419
2.092999999999847,-28.376855538653395,-23.371373317584624
2.115000000000009,-27.593479261869014,-22.04734878282262
2.1369999999999436,-26.781446423176597,-20.77160848958154
2.1489999999998872,-26.386057468812023,-20.08974348851569
2.1709999999998217,-25.554341121419,-18.51435892918803
2.1829999999999927,-25.23676184643898,-17.316108838206862
2.2049999999999272,-24.951718988650615,-15.532217868248111
2.216999999999871,-24.690447004557356,-14.39257751961234
2.2389999999998054,-24.26349522691517,-11.790062908807746
2.2609999999999673,-24.052499889494012,-10.405689889655612
2.272999999999911,-24.01703163190993,-9.90796342635504
2.2949999999998454,-23.664155260628156,-7.836305328912321
2.3070000000000164,-23.28348993692353,-6.964746343060849
2.328999999999951,-22.539924282494603,-5.840220500014491
2.3409999999998945,-22.074571132562703,-5.323339897286735
2.362999999999829,-21.148859401086366,-4.329093439072303
2.375,-20.985766554191724,-3.8497206609490093
2.3969999999999345,-20.315564132973723,-2.961818266964826
2.418999999999869,-19.397479235469003,-1.6159676144400952
2.4309999999998126,-18.762601241516826,-1.175736433455801
2.4529999999999745,-17.463200334392084,0.034201582383422746
2.464999999999918,-16.674812276309822,0.5412821236843901
2.4869999999998527,-15.761706284725305,2.0904808923530998
2.4989999999997963,-15.144239593222295,2.931185903744307
2.520999999999958,-14.072216468578423,4.556847692277188
2.5429999999998927,-12.943365448461982,4.904376031078244
2.5549999999998363,-12.202960012255419,4.987674097909237
2.576999999999998,-11.003386398720627,5.352180096514102
2.588999999999942,-10.41390424353345,5.555348602547828
2.6109999999998763,-9.326796815988818,5.516318880921623
2.62299999999982,-8.759041875670457,5.576229388679516
2.644999999999982,-7.511289968390505,6.605815141987276
2.6669999999999163,-6.239384883068285,8.803180026524851
2.67899999999986,-5.743161683119514,10.031565115169379
2.7009999999997945,-5.344186592475824,14.957014723802427
2.7129999999999654,-5.0354883981864775,15.897704375042492
2.7349999999999,-4.068782003447181,16.86564636127641
2.7469999999998436,-3.4690721126972632,16.891707739935818
2.7690000000000055,-2.775407929795327,18.940867325912187
2.780999999999949,-2.1042326484225202,19.766817898188492
2.8029999999998836,-0.923721739060453,22.13933766993435
2.824999999999818,0.1958390538556938,24.41516810248888
2.836999999999989,0.679714422053395,25.153423488022288
2.8589999999999236,1.4866839302644572,25.67971829593047
2.870999999999867,2.0370802195032653,25.85317550299875
2.8929999999998017,3.17906282513658,25.94224555389468
2.9049999999999727,3.7028406926022766,26.025308188764807
2.9269999999999072,4.598950093240723,26.26798500669432
2.9489999999998417,5.505519205822934,26.599921517864217
2.9610000000000127,6.04408443066822,26.86743543583346
2.9829999999999472,7.271248565668066,27.22087395071978
2.994999999999891,7.787193531353993,27.099386214816963
3.0169999999998254,8.749330682928104,26.778236654373057
3.0289999999999964,9.265728744115613,26.636337044855047
3.050999999999931,10.394374972873697,26.810978920448285
3.0729999999998654,11.453302949110013,26.973408879051032
3.084999999999809,11.951502157743278,27.089449302529506
3.106999999999971,12.798590825776841,27.401922814646355
3.1189999999999145,13.160042394824908,27.586783847827807
3.140999999999849,14.084506719999665,27.844646262616997
3.1529999999997926,14.547907743392551,27.952999537274987
3.1749999999999545,15.517395374036902,29.029160551593662
3.186999999999898,16.0734551567849,29.954201540489482
3.2089999999998327,17.022712124414134,31.33801994639439
3.2309999999999945,17.929889835567614,32.08194099795768
3.242999999999938,18.308524348625355,32.25777813659192
3.2649999999998727,19.003153045902874,32.405910528165535
3.2769999999998163,19.27726650625838,32.47605850964425
3.298999999999978,19.837448265035746,32.669576846638016
3.310999999999922,20.135538095551404,32.83607409916775
3.3329999999998563,20.631555950637267,33.246902614140794
3.355000000000018,21.06003591319732,33.62795210063859
3.366999999999962,21.254466022237576,33.79810920074202
3.3889999999998963,21.561723394325195,33.6454707648595
3.40099999999984,21.6275161953127,33.82595300545825
3.423000000000002,22.036433007536637,34.51233339742548
3.4349999999999454,22.230722708082585,35.01334967781411
3.45699999999988,22.920592466744743,36.428918319885604
3.4689999999998236,23.025360294399384,37.18746021917407
3.4909999999999854,23.233776186336257,37.96692103693646
3.51299999999992,23.436584805159576,38.9776246625735
3.5249999999998636,23.501390927448334,39.91328972632349
3.546999999999798,23.938602446281955,41.565140767233785
3.558999999999969,24.00322170630893,42.72182864544909
3.5809999999999036,24.266772209168163,44.54673948780504
3.602999999999838,24.67677882919386,46.984358421280405
3.615000000000009,24.49303161702448,47.91370067162918
3.6369999999999436,24.186088754648274,48.995172906707616
3.6489999999998872,23.77960097554545,49.36888791996011
3.6709999999998217,22.94087925955773,50.09289548720613
3.6829999999999927,22.36936845206598,50.51900749550521
3.7049999999999272,21.453203410694602,51.3228843272652
3.716999999999871,20.903530520646356,51.85911467040947
3.7389999999998054,20.01283307972865,52.48076121054196
3.7609999999999673,18.94740868941217,52.859967500946944
3.772999999999911,18.278074143548686,53.09796410346954
3.7949999999998454,16.951866994968864,53.69337344806784
3.811997999999903,15.898061568171205,54.29094087140698
3.8239999999998417,15.107020613544696,54.652221204802956
3.8460000000000036,13.706819368226865,55.14950973355265
3.8579999999999472,12.943149459348778,55.42082787329172
3.8799999999998818,11.320865967425952,55.73810313917965
3.9019999999998163,9.541253583849954,55.99640414589775
3.9139999999999873,8.550044535862956,56.27842784480064
3.935999999999922,6.662146106757358,56.575273253322536
3.9479999999998654,5.513583673207204,56.68810815640923
3.9699999999998,3.665426814488128,56.861421026093446
3.981999999999971,2.6843663824799417,57.02687294306791
4.003999999999905,1.2932269557143716,57.915692128445784
4.02599999999984,-0.5584780668078848,58.19444383584873
4.038000000000011,-1.529595759493846,58.3388310605844
4.059999999999945,-3.325224520410949,58.56293114915421
4.071999999999889,-4.302257811390547,58.7031493604675
4.093999999999824,-5.698072772987951,58.886638057682326
4.1059999999999945,-6.405338731370912,58.94226894681037
4.127999999999929,-7.636858786412197,59.0319461845796
4.139999999999873,-8.463334744125993,59.2283730046267
4.161999999999807,-9.921855705905665,59.28854975958904
4.183999999999969,-11.460743566330137,59.20789545119611
4.195999999999913,-12.206827070973672,59.19962260541911
4.217999999999847,-13.692880806054081,58.82905059938476
4.230000000000018,-14.313603788774811,58.50060079118659
4.251999999999953,-15.46008377777857,57.95158412171526
4.273999999999887,-16.62991452601558,57.28513415339525
4.285999999999831,-17.230602502870514,57.01393069731263
4.307999999999993,-18.38635835255744,56.32956977557445
4.319999999999936,-18.84755978956157,55.95472169418939
4.341999999999871,-19.770400029893697,55.29188126731
4.3539999999998145,-20.21338237067953,54.9946727323078
4.375999999999976,-21.215545210756705,54.401196522177486
4.38799999999992,-21.551238431660217,53.99078861276838
4.4099999999998545,-22.241035751178227,53.27024989628788
4.421999999999798,-22.72562444671365,52.980204256576265
4.44399999999996,-24.04124907306758,52.107041697393505
4.4659999999998945,-25.118962410794037,51.02859330697211
4.477999999999838,-25.544042191521825,50.45860015751743
4.5,-26.465096820517008,49.46193078678244
4.511999999999944,-26.972003217854976,48.941229209791025
4.533999999999878,-27.973917602710312,47.887376726368494
4.545999999999822,-28.299765921225813,47.24618577680434
4.567999999999984,-28.734388522875193,45.960467630854325
4.589999999999918,-29.106939997439966,44.71383192794441
4.601999999999862,-29.336599506626097,44.179631490447576
4.623999999999796,-30.049281751316883,43.21219098208182
4.635999999999967,-30.248066210055192,42.58151153184873
4.657999999999902,-30.586032825721144,41.48008151918825
4.669999999999845,-30.66737757677378,40.899634874414204
4.692000000000007,-30.827252668429967,39.75287829429576
4.713999999999942,-30.914052759709534,38.556095200326574
4.725999999999885,-30.900387027718626,37.98996276100848
4.74799999999982,-30.69982206780788,36.89463038421653
4.759999999999991,-30.424838080626742,36.29550101709223
4.781999999999925,-29.89085177977329,35.26409941213551
4.793999999999869,-29.576937403235803,34.649421838419485
4.8159999999998035,-29.13760977653052,33.4228272164103
4.8279999999999745,-28.766340027488667,32.65577718720478
4.849999999999909,-27.890598056164492,31.269060751059833
4.871999999999844,-27.078434632289753,29.994296965656027
4.8840000000000146,-26.622205083347595,29.358796056372842
4.905999999999949,-25.78995460829759,28.23708115547486
4.917999999999893,-25.203920000048537,27.456362039688322
4.939999999999827,-24.218175515128188,26.20273419501596
4.951999999999998,-23.668464537074506,25.60674164115532
4.973999999999933,-22.622202846746475,24.393634004605623
4.995999999999867,-21.496842245786084,22.966870720278934
5.007999999999811,-20.86703902106631,22.09423319676758
5.029999999999973,-19.874764327624963,20.45033771389785
