Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,1.10346,0.79846,-13.59597
0.03400,2.88962,1.94273,-26.02183
0.04628,3.53617,2.61186,-32.46925
0.06800,4.52829,3.07633,-42.85718
0.09000,5.34749,2.74267,-52.21658
0.10200,5.79107,2.73351,-56.41859
0.12400,6.52777,3.03272,-63.18102
0.13600,6.81220,3.24886,-65.97972
0.15800,7.29953,3.38397,-70.64211
0.17000,7.52669,3.26406,-72.46712
0.19200,7.83787,4.03023,-75.81973
0.21400,8.23165,4.63206,-78.20412
0.22600,8.40727,4.75496,-79.28527
0.24800,8.74332,4.03957,-80.57484
0.26000,8.85411,3.90160,-81.29861
0.28200,9.26414,3.14095,-82.60295
0.29400,9.24719,3.37895,-83.23160
0.31600,9.28568,3.16365,-85.03519
0.33800,9.15087,2.44987,-85.94827
0.35000,9.15513,1.54447,-86.86118
0.37200,8.98463,0.71747,-88.58981
0.38400,8.85944,0.38689,-89.69077
0.40600,8.57525,-0.37956,-91.54396
0.41800,8.48513,-0.98833,-92.69318
0.44000,8.59701,-2.45386,-94.71069
0.45200,8.75369,-2.95211,-96.01444
0.47400,8.94807,-3.90152,-98.80080
0.49600,9.08804,-5.60682,-101.57777
0.50800,9.24696,-6.62440,-103.13238
0.53000,9.55165,-7.53790,-106.13992
0.54200,9.76112,-8.00546,-107.69452
0.56400,9.94810,-9.09775,-110.74164
0.58600,10.06116,-10.12120,-113.72094
0.59800,10.11371,-10.86266,-115.07611
0.62000,10.18327,-11.81046,-117.75439
0.63200,10.40338,-12.20548,-119.02341
0.65400,10.77065,-12.65026,-121.38757
0.66600,10.86286,-12.92598,-122.53175
0.68800,11.09468,-14.11250,-124.50844
0.70000,11.09249,-14.58687,-125.69240
0.72200,11.29787,-15.71131,-127.35321
0.74400,11.40956,-16.50916,-129.00531
0.75600,11.51052,-17.06995,-129.94998
0.77800,11.48474,-18.50374,-131.64032
0.79000,11.40463,-19.27635,-132.54857
0.81200,10.95034,-20.85521,-134.60060
0.82400,10.63590,-21.92482,-135.66309
0.84600,9.96672,-24.37849,-137.92346
0.85800,9.72230,-25.66088,-139.12392
0.88000,9.19146,-27.73696,-141.28673
0.90200,8.41113,-28.63693,-143.72691
0.91400,8.07702,-29.11768,-144.99127
0.93600,7.46266,-30.06103,-147.19934
0.94800,7.21628,-30.82822,-148.34746
0.97000,6.43578,-32.72682,-150.33817
0.98200,5.82705,-33.85053,-151.51660
1.00400,5.03796,-36.03427,-153.26999
1.02600,4.32287,-37.34074,-155.01541
1.03800,3.85141,-37.82731,-156.18828
1.06000,2.95347,-39.04728,-158.25720
1.07200,2.48630,-39.82689,-159.15829
1.09400,1.67755,-41.30961,-160.63741
1.10600,1.26430,-42.13018,-161.43086
1.12800,0.28472,-43.68214,-163.22481
1.15000,-0.68657,-45.77956,-164.85628
1.16200,-1.42797,-46.18240,-165.80794
1.18400,-3.34441,-46.65459,-168.28874
1.19600,-4.35857,-47.03775,-169.56004
1.21800,-6.50626,-48.28592,-171.99409
1.23000,-7.65658,-49.09954,-173.25858
1.25200,-9.41351,-50.48133,-175.30602
1.26400,-10.45683,-51.09311,-176.46904
1.28600,-12.43968,-52.69836,-178.52388
1.30800,-14.52058,-53.95490,179.51683
1.32000,-15.80102,-54.66164,178.28928
1.34200,-19.42886,-56.40449,174.81947
1.35400,-21.51185,-57.59590,172.81688
1.37600,-25.46666,-59.75105,169.21176
1.38800,-26.54744,-60.01522,168.27768
