Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,0.83209,0.66533,-13.58704
0.03400,2.17609,1.60012,-25.93228
0.04628,2.64271,2.15535,-32.36497
0.06800,3.34871,2.48366,-42.85101
0.09000,3.95136,2.09970,-52.33135
0.10200,4.29367,2.04723,-56.61445
0.12400,4.87239,2.26152,-63.56961
0.13600,5.09381,2.43719,-66.51113
0.15800,5.47339,2.52561,-71.42145
0.17000,5.64597,2.38544,-73.39210
0.19200,5.88017,3.04941,-76.93710
0.21400,6.20077,3.58331,-79.59610
0.22600,6.33777,3.68066,-80.80681
0.24800,6.60706,2.98509,-82.36233
0.26000,6.68636,2.82970,-83.17474
0.28200,7.03109,2.08243,-84.60087
0.29400,7.01015,2.28479,-85.24635
0.31600,7.05209,2.08275,-87.02119
0.33800,6.93058,1.41869,-87.99216
0.35000,6.94062,0.58343,-88.83590
0.37200,6.80599,-0.19183,-90.36987
0.38400,6.70051,-0.50428,-91.32951
0.40600,6.45997,-1.22969,-92.95974
0.41800,6.39632,-1.79296,-93.94087
0.44000,6.53476,-3.16890,-95.61701
0.45200,6.68818,-3.66056,-96.69105
0.47400,6.87505,-4.60282,-99.01890
0.49600,7.00577,-6.23768,-101.35795
0.50800,7.15480,-7.21077,-102.66725
0.53000,7.44166,-8.09892,-105.19407
0.54200,7.63301,-8.53991,-106.51476
0.56400,7.79720,-9.56176,-109.12820
0.58600,7.89910,-10.49674,-111.69842
0.59800,7.94750,-11.18780,-112.86178
0.62000,8.02312,-12.05678,-115.16026
0.63200,8.21908,-12.42758,-116.24371
0.65400,8.53997,-12.84486,-118.30541
0.66600,8.60834,-13.10502,-119.31232
0.68800,8.79708,-14.22837,-121.05023
0.70000,8.78238,-14.67142,-122.12193
0.72200,8.94617,-15.73622,-123.62708
0.74400,9.02710,-16.50201,-125.15701
0.75600,9.10652,-17.03684,-126.02775
0.77800,9.05510,-18.38375,-127.62108
0.79000,8.95617,-19.12197,-128.47975
0.81200,8.50032,-20.61484,-130.43205
0.82400,8.18794,-21.63510,-131.45526
0.84600,7.53570,-23.95747,-133.63467
0.85800,7.28969,-25.17239,-134.79648
0.88000,6.78366,-27.12447,-136.87340
0.90200,6.04704,-27.93222,-139.19702
0.91400,5.73491,-28.35782,-140.39377
0.93600,5.16363,-29.19564,-142.49133
0.94800,4.92643,-29.90432,-143.58046
0.97000,4.16823,-31.68668,-145.48195
0.98200,3.57713,-32.74910,-146.61182
1.00400,2.80624,-34.82792,-148.29703
1.02600,2.12628,-36.06417,-149.96852
1.03800,1.68593,-36.51242,-151.10117
1.06000,0.84325,-37.64227,-153.08012
1.07200,0.40163,-38.37638,-153.92955
1.09400,-0.38193,-39.78722,-155.33333
1.10600,-0.78556,-40.57363,-156.10330
1.12800,-1.73835,-42.06189,-157.85252
1.15000,-2.69914,-44.09755,-159.45302
1.16200,-3.40145,-44.47552,-160.36482
1.18400,-5.19209,-44.89051,-162.72687
1.19600,-6.11967,-45.23674,-163.91206
1.21800,-8.10880,-46.42255,-166.17827
1.23000,-9.17658,-47.20808,-167.35289
1.25200,-10.78926,-48.54966,-169.23827
1.26400,-11.74983,-49.14423,-170.31229
1.28600,-13.59922,-50.73494,-172.20233
1.30800,-15.55405,-51.98007,-174.00934
1.32000,-16.76430,-52.67923,-175.15466
1.34200,-20.17512,-54.41164,-178.39099
1.35400,-22.12831,-55.61208,179.73517
1.37600,-25.82374,-57.78852,176.39925
1.38800,-26.79457,-58.05973,175.57474
1.41000,-27.47542,-57.67334,175.03281
1.43200,-28.01844,-57.00521,174.73924
1.44400,-28.28388,-56.49782,174.61938
1.46600,-29.00595,-55.29033,174.27022
1.47800,-29.30742,-54.68783,174.10153
1.50000,-29.99293,-53.79142,173.53915
1.51200,-30.48415,-53.42265,173.16286
1.53400,-31.30125,-52.78218,172.37878
1.54600,-31.58617,-52.25087,172.09538
1.56800,-32.00037,-51.11704,171.70061
1.59000,-32.39535,-49.57621,171.33205
1.60200,-32.70087,-48.87729,171.00488
1.62400,-33.37809,-47.47927,170.35190
1.63600,-33.93787,-46.98843,169.88007
1.65800,-34.79540,-45.70644,169.10051
1.68000,-35.21422,-44.24662,168.74539
1.69200,-35.37038,-43.41223,168.61905
1.71400,-35.99823,-41.77935,168.14508
1.72600,-36.34785,-41.18678,167.79451
1.74800,-36.81893,-39.99210,167.31004
1.76000,-37.02810,-39.06612,167.11867
1.78200,-37.81702,-38.10934,166.41731
1.79400,-37.91053,-37.45850,166.24606
1.81100,-37.83449,-36.49521,166.25110
1.83300,-38.37533,-35.31299,165.63791
1.85500,-39.07666,-34.76742,164.81589
1.86700,-39.35963,-34.12997,164.67256
1.88900,-39.87332,-32.71531,164.07455
1.90100,-39.86719,-31.91452,163.96935
1.92300,-39.52416,-30.69833,163.82892
1.93500,-38.96043,-29.95345,163.99634
1.95700,-38.00403,-28.25052,164.50348
1.97900,-37.25790,-26.48947,164.79628
1.99100,-37.01802,-25.71940,164.84427
2.01300,-36.47153,-24.74715,164.87280
2.02500,-36.20268,-24.50538,164.90050
2.04700,-35.43481,-23.74316,165.50957
2.05900,-35.05310,-22.99100,165.98653
2.08100,-33.99582,-21.09682,167.03111
2.09300,-33.41227,-20.22627,167.51968
2.11500,-32.36790,-18.98506,168.39124
2.13700,-31.36667,-17.84649,169.73436
2.14900,-30.92472,-17.25826,170.56261
2.17100,-29.99940,-15.85802,172.72032
2.18300,-29.64706,-14.63180,174.46187
2.20500,-29.33748,-12.50581,177.05894
2.21700,-28.95485,-11.33978,178.63611
2.23900,-28.69330,-8.57359,-177.98895
2.26100,-28.42546,-7.35740,-174.72815
2.27300,-28.28441,-6.90636,-172.99182
2.29500,-27.90330,-4.68470,-169.30783
2.30700,-27.39880,-3.83597,-165.54085
2.32900,-26.51550,-2.81165,-159.07849
2.34100,-25.95236,-2.38348,-155.42949
2.36300,-24.96834,-1.68914,-148.59679
2.37500,-24.81024,-1.31593,-144.71645
2.39700,-24.03415,-0.50709,-137.81828
2.41900,-23.01531,0.80729,-130.90894
2.43100,-22.25357,1.19450,-128.89313
2.45300,-20.87596,2.41169,-125.02714
2.46500,-19.97588,2.85237,-122.87788
2.48700,-19.15696,4.52371,-118.40008
2.49900,-18.46420,5.40028,-116.61664
2.52100,-17.33251,6.95789,-113.34030
2.54300,-16.00378,7.18753,-110.69305
2.55500,-15.14937,7.22359,-109.22762
2.57700,-13.84060,7.57580,-106.49026
2.58900,-13.15877,7.74794,-105.13606
2.61100,-11.95398,7.59495,-102.78452
