Time,Phi (degrees),Theta (degrees)
0.00000,0.00000,0.00000
0.01200,0.75263,0.76494
0.03400,2.01143,1.82264
0.04628,2.46654,2.37731
0.06800,3.17945,2.72279
0.09000,3.84955,2.33785
0.10200,4.20577,2.27101
0.12400,4.78960,2.47331
0.13600,5.01604,2.63071
0.15800,5.40783,2.69524
0.17000,5.59028,2.53912
0.19200,5.81460,3.17905
0.21400,6.13660,3.69414
0.22600,6.27985,3.78087
0.24800,6.57015,3.06910
0.26000,6.65463,2.90528
0.28200,7.01520,2.14773
0.29400,6.99456,2.34308
0.31600,7.04270,2.13060
0.33800,6.92819,1.45668
0.35000,6.94459,0.61770
0.37200,6.82027,-0.16574
0.38400,6.71598,-0.48163
0.40600,6.48260,-1.21439
0.41800,6.42128,-1.77962
0.44000,6.57585,-3.15567
0.45200,6.72995,-3.64702
0.47400,6.92788,-4.58789
0.49600,7.08072,-6.22290
0.50800,7.23368,-7.19570
0.53000,7.52642,-8.07994
0.54200,7.71466,-8.52063
0.56400,7.88710,-9.54230
0.58600,7.99346,-10.47867
0.59800,8.04003,-11.17105
0.62000,8.11692,-12.04146
0.63200,8.30779,-12.41183
0.65400,8.62111,-12.82605
0.66600,8.68413,-13.08761
0.68800,8.87649,-14.21140
0.70000,8.85841,-14.65631
0.72200,9.02284,-15.72186
0.74400,9.10038,-16.48936
0.75600,9.17703,-17.02501
0.77800,9.12911,-18.37477
0.79000,9.02834,-19.11459
0.81200,8.58034,-20.61434
0.82400,8.26797,-21.63688
0.84600,7.63554,-23.96737
0.85800,7.39090,-25.18367
0.88000,6.89540,-27.14038
0.90200,6.15280,-27.95521
0.91400,5.83437,-28.38144
0.93600,5.25552,-29.22142
0.94800,5.01422,-29.92978
0.97000,4.25503,-31.71364
0.98200,3.66075,-32.77642
1.00400,2.88855,-34.85537
1.02600,2.20292,-36.09141
1.03800,1.75753,-36.53941
1.06000,0.90831,-37.66908
1.07200,0.46159,-38.40203
1.09400,-0.33165,-39.81026
1.10600,-0.73971,-40.59542
1.12800,-1.69865,-42.08207
1.15000,-2.66724,-44.11544
