Time,Phi (degrees),Theta (degrees)
0.0,4.213,1.695
0.011999999999943611,5.569,4.901
0.03399999999987813,6.149,5.319
0.04628499999989799,5.751,5.775
0.06799999999998363,5.859,4.826
0.08999999999991815,6.182,2.526
0.10199999999986176,6.751,2.363
0.12399999999979627,7.02,3.182
0.13599999999996726,6.827,3.479
0.15799999999990177,6.792,2.88
0.16999999999984539,7.059,2.158
0.19200000000000728,6.947,4.776
0.2139999999999418,7.145,5.252
0.2259999999998854,7.196,4.77
0.24799999999981992,7.555,2.287
0.2599999999999909,7.665,2.785
0.2819999999999254,8.285,1.352
0.29399999999986903,7.501,4.2
0.31599999999980355,7.399,3.297
0.33799999999996544,6.904,1.622
0.34999999999990905,7.22,-2.416
0.37199999999984357,6.763,-1.312
0.38400000000001455,6.411,-0.244
0.40599999999994907,5.934,-0.093
0.4179999999998927,5.726,-1.516
0.4399999999998272,6.168,-3.208
0.4519999999999982,6.818,-1.876
0.4739999999999327,6.827,-1.223
0.4959999999998672,6.977,-3.61
0.5079999999998108,7.592,-5.634
0.5299999999999727,7.939,-4.388
0.5419999999999163,8.534,-5.257
0.5639999999998508,8.482,-6.667
0.5860000000000127,8.421,-8.343
0.5979999999999563,8.341,-9.917
0.6199999999998909,7.962,-10.164
0.6319999999998345,8.673,-10.508
0.6539999999999964,9.045,-10.133
0.66599999999994,8.99,-10.203
0.6879999999998745,9.473,-11.986
0.6999999999998181,9.025,-12.57
0.72199999999998,9.684,-13.62
0.7439999999999145,9.576,-12.99
0.7559999999998581,9.884,-13.98
0.7779999999997926,9.647,-16.222
0.7899999999999636,9.152,-17.07
0.8119999999998981,8.366,-17.874
0.8239999999998417,7.268,-19.004
0.8460000000000036,6.444,-21.941
0.8579999999999472,6.456,-24.381
0.8799999999998818,6.019,-25.391
0.9019999999998163,5.01,-24.669
0.9139999999999873,4.852,-25.463
0.9359999999999218,4.575,-26.638
0.9479999999998654,4.596,-29.189
0.9699999999997999,3.519,-31.831
0.9819999999999709,2.057,-33.266
1.0039999999999054,2.321,-35.208
1.02599999999984,2.446,-33.113
1.038000000000011,1.681,-32.221
1.0599999999999454,1.183,-35.242
1.071999999999889,0.699,-38.03
1.0939999999998236,0.385,-39.651
1.1059999999999945,0.371,-40.097
1.127999999999929,-0.092,-40.578
1.1499999999998636,-0.155,-43.509
1.1619999999998072,-1.633,-40.25
1.183999999999969,-3.148,-39.087
1.1959999999999127,-3.977,-41.709
1.2179999999998472,-5.797,-45.051
1.2300000000000182,-6.656,-47.34
1.2519999999999527,-6.821,-48.206
1.2639999999998963,-8.183,-49.276
1.2859999999998308,-8.802,-53.425
1.3079999999999927,-9.972,-54.003
1.3199999999999363,-10.453,-53.743
1.3419999999998709,-12.766,-54.713
1.3539999999998145,-13.257,-58.149
1.3759999999999764,-13.396,-59.16
1.38799999999992,-12.52,-55.579
1.4099999999998545,-13.23,-55.381
1.4320000000000164,-14.317,-55.593
1.44399999999996,-15.554,-55.72
1.4659999999998945,-17.062,-54.901
1.477999999999838,-17.264,-54.141
1.5,-17.466,-54.775
