Time,Phi (degrees),Theta (degrees)
0.0,-0.08104465741108656,-0.17272971707365195
0.011999999999943611,-0.15735523928782494,-0.3482264162506785
0.033999999999991815,-0.21697597612005298,-0.546986546799416
0.045999999999935426,-0.2667725517069465,-0.7083994054966635
0.06799999999998363,-0.2909473743417304,-0.820780238937649
0.08999999999991815,-0.32341590775773266,-0.9629086974205436
0.10199999999997544,-0.3678342215319312,-1.0972319113300073
0.12399999999990996,-0.4238479375436753,-1.2440531563419157
0.13599999999996726,-0.5035554551565655,-1.3431184588597245
0.15800000000001546,-0.5594563344283808,-1.4382636433604015
0.16999999999995907,-0.6224164321093429,-1.5720518534029178
0.19200000000000728,-0.6795269922351168,-1.6577087891032949
0.2039999999999509,-0.7151741586005294,-1.7706155405840258
0.2259999999999991,-0.7828614673493992,-1.8868039413157567
0.2479999999999336,-0.8411367579829339,-1.9817762629017275
0.2599999999999909,-0.8872027709637582,-2.0761363246786924
0.2819999999999254,-0.9479659543215505,-2.1291924125794726
0.2939999999999827,-1.0159919333171947,-2.2402238310266545
0.31599999999991724,-1.1023528289130011,-2.384800598797002
0.32799999999997453,-1.1558490589396757,-2.466971932448515
0.34999999999990905,-1.1972170176350714,-2.518039430645198
0.37199999999995725,-1.2400170089504272,-2.583000776755672
0.38400000000001455,-1.3006517078611708,-2.6849269504520747
0.40599999999994907,-1.3832334658558958,-2.7801111293134517
0.41800000000000637,-1.4329064423359754,-2.8959487165432773
0.4399999999999409,-1.467832025913951,-2.9607801134748115
0.4519999999999982,-1.5052141682807711,-3.0889676155506076
0.4739999999999327,-1.5440776907617406,-3.2281384733807506
0.4959999999999809,-1.542376867039039,-3.315979105486888
0.5079999999999245,-1.5491441384564966,-3.367800724827952
0.5299999999999727,-1.514438199120686,-3.492196208536114
0.5419999999999163,-1.5130668813359962,-3.57005102666832
0.5639999999999645,-1.5022158363604794,-3.6710749496835
0.5760000000000218,-1.5148685699300253,-3.7312033366504367
0.5979999999999563,-1.5429721883104668,-3.784373436410353
0.6100000000000136,-1.5902269538732396,-3.8517259441274962
0.6319999999999482,-1.652153722246859,-3.9280521226888454
0.6539999999999964,-1.7176469643113303,-3.980567601635667
0.66599999999994,-1.7830805265051615,-4.071836435197393
0.6879999999999882,-1.8370512494007079,-4.203333371509923
0.6999999999999318,-1.909245161304986,-4.26601313639824
0.72199999999998,-2.018984818526413,-4.345291729931208
0.7339999999999236,-2.0588910655756747,-4.457168547988453
0.7559999999999718,-2.067579149046256,-4.553228970707541
0.77800000000002,-2.0464414355155642,-4.601357821120434
0.7899999999999636,-2.0482786489168263,-4.6458035997074125
0.8120000000000118,-2.0484550745922743,-4.703479825623985
0.8239999999999554,-2.052130357365241,-4.842936292710961
0.8460000000000036,-2.0494222057014877,-4.916089131178014
0.8579999999999472,-2.0530041032312583,-4.963562483093978
0.8799999999999955,-2.0398574995883694,-5.03552310716052
0.8919999999999391,-2.0462171904965523,-5.1071606081135865
0.9139999999999873,-2.068078399658814,-5.1737321714458995
0.9359999999999218,-2.110880875398965,-5.247082264252689
0.9479999999999791,-2.157386162066144,-5.344101591560582
0.9699999999999136,-2.1852254718400608,-5.4231355343045085
0.9819999999999709,-2.215642302843113,-5.4724524757173105
1.004000000000019,-2.2531553511825932,-5.56276368762925
1.0159999999999627,-2.2750902030456293,-5.642076868107969
1.038000000000011,-2.315220401317849,-5.702352798681517
1.0599999999999454,-2.3628985755135217,-5.784887527112954
1.0720000000000027,-2.3878702429976895,-5.855433649897317
1.0989979999999377,-2.382017476987445,-5.97604010054568
1.11099999999999,-2.383459926837646,-6.02719201778711
1.1229999999999336,-2.3808587828394785,-6.115238226467555
1.1449999999999818,-2.34076703811466,-6.222536821040901
1.1569999999999254,-2.312137533415849,-6.259772540803103
1.1789999999999736,-2.244357026873285,-6.3171954024617065
1.2010000000000218,-2.12893764351312,-6.321597547150611
1.2129999999999654,-2.1202587698857,-6.4068027505005105
1.2350000000000136,-2.343145376672404,-6.451274412604179
1.2469999999999573,-2.3253936440234027,-6.578735875055535
1.2690000000000055,-2.311747157019375,-6.796843302728751
1.280999999999949,-2.326150636923047,-6.894281767506683
1.3029999999999973,-2.255753875538246,-7.181164431873305
1.3249999999999318,-2.202427526855595,-7.03117549282477
1.336999999999989,-2.12207081879832,-6.938388470545573
1.3589999999999236,-1.9417909294672961,-6.810955471813831
1.370999999999981,-1.8921028564968632,-6.818094240457062
1.3929999999999154,-1.91138176506342,-6.591163657996629
1.4049999999999727,-1.9889728945697913,-6.534153356983661
1.427000000000021,-2.0636728542207963,-6.621436188795562
1.439284999999927,-2.018502601668717,-6.441851760257168
1.4610000000000127,-1.835806041968558,-5.982052945419021
1.4829999999999472,-1.6237260347462634,-5.6494116612440015
1.4950000000000045,-1.5289011768864589,-5.475826302359125
1.516999999999939,-1.3598681947116533,-5.430705904736215
1.5289999999999964,-1.3069326518101807,-5.313971204700706
1.5509999999999309,-1.1468694222214746,-4.924863770941714
1.5629999999999882,-0.9967332157216778,-4.393758096087871
1.5849999999999227,-0.4330179417032809,-2.430795487585231
1.606999999999971,-0.04313770342830191,-1.7643437825899977
1.6189999999999145,0.1887689294200882,-1.808138122141066
1.6409999999999627,0.3516350788837411,-2.203731178345594
1.65300000000002,0.4363883661342499,-3.093900712412074
1.6749999999999545,0.3389016858551267,-4.991328806976979
1.6870000000000118,0.37823260908182765,-6.067197016836319
1.7089999999999463,0.5536153296968687,-7.463125435684552
1.7309999999999945,0.8170730890963731,-7.9340175380142295
1.7429999999999382,0.9752589899728527,-7.747402882233156
1.7649999999999864,1.206051256212747,-7.372391186986554
1.77699999999993,1.2565634292259766,-7.236074033602922
1.7989999999999782,1.2741103945663719,-7.091196363730257
1.8109999999999218,1.3040577942428295,-6.966192035192843
1.83299999999997,1.3622445617877443,-7.04462114862518
1.8449999999999136,1.3308153770086624,-7.184956279945492
1.8669999999999618,1.296876134246795,-7.3555695471809335
1.88900000000001,1.2914846094943615,-7.284801969369412
1.9009999999999536,1.3294780771852082,-7.193496634576807
1.9230000000000018,1.3944935494959034,-7.166966685856771
1.9349999999999454,1.3559862305923749,-7.190825467424738
1.9569999999999936,1.2913204744428577,-7.3864513143027555
1.9689999999999372,1.2486182212054964,-7.5021336356879
1.9909999999999854,1.144813412275562,-7.658872665066019
2.01299999999992,1.12242395169292,-7.679081860383002
2.0249999999999773,1.1019896388316945,-7.689953805679637
2.046999999999912,1.0110202995969038,-7.664928158484242
2.058999999999969,0.92404299369436,-7.801199235833556
2.0810000000000173,0.7813180969227961,-7.809471885297007
2.092999999999961,0.7363670719947465,-7.870363041344468
2.115000000000009,0.5684303908234711,-8.185205283205185
2.1369999999999436,0.44640875279171477,-8.39712229047406
2.149000000000001,0.38026641318240856,-8.467102516257965
2.1709999999999354,0.3576790715132057,-8.592782954295517
2.1829999999999927,0.3577328293258338,-8.803335488418439
2.2049999999999272,0.2796933873304836,-9.084829769940642
2.2169999999999845,0.2596051426867052,-9.051719799338072
2.238999999999919,0.24234523713238182,-8.942792638715964
2.2509999999999764,0.22040490108162988,-9.015000069367387
2.272999999999911,0.19311278859838465,-9.120417047678334
2.294999999999959,0.19810007586320744,-9.063456642098748
2.3070000000000164,0.18882570072339433,-9.037939186191137
2.328999999999951,0.23441495453006556,-8.953442900031405
2.341000000000008,0.2279541493818622,-8.871610564202399
2.3629999999999427,0.24341988967339942,-8.757534802749772
2.375,0.23640200150306126,-8.772672823542418
2.3969999999999345,0.2503380168046747,-8.798625660716135
2.4189999999999827,0.27725237582480605,-8.912734018242773
2.4309999999999263,0.26314349826205224,-8.982088549394424
2.4529999999999745,0.24775388158223352,-9.241809949902006
2.464999999999918,0.23630114769469507,-9.385714452914346
2.4869999999999663,0.2185267649627992,-9.565044598745054
2.49899999999991,0.20237000120366955,-9.559599617140565
2.520999999999958,0.2185458026351451,-9.451010249750787
2.5430000000000064,0.20164811721419298,-9.223215618062538
2.55499999999995,0.20309700491919286,-9.102617282510261
2.576999999999998,0.13372080220585678,-8.948405820601105
2.588999999999942,0.09788184871337022,-8.956911966004812
2.61099999999999,0.027531908749540285,-9.135783518496629
2.6229999999999336,-0.030242824978647945,-9.357749218196492
2.644999999999982,-0.1703897466262559,-9.81780289617498
2.6569999999999254,-0.2846373761287554,-10.050464963549818
2.6789999999999736,-0.3811263701590872,-10.558202540509463
2.701000000000022,-0.4674031104707982,-11.021237620153796
2.7129999999999654,-0.5065583321084532,-11.155202382461933
2.7350000000000136,-0.47587704145186693,-11.339800090876137
2.7469999999999573,-0.48696230628646686,-11.454975598754611
2.7690000000000055,-0.5544697192227518,-11.5328980017574
2.780999999999949,-0.5561720165767652,-11.567766407234545
2.8029999999999973,-0.5087400389854569,-11.523844578109049
2.824999999999932,-0.5148456844244945,-11.487896605691423
2.836999999999989,-0.5223532051893983,-11.443807633807365
2.8589999999999236,-0.508174425327817,-11.240575754020888
2.870999999999981,-0.5044621169168889,-11.178827038424927
2.8929999999999154,-0.5412929558411689,-11.200607927830774
2.9049999999999727,-0.5414003924805555,-11.215714897922965
2.927000000000021,-0.5239954656916396,-11.257888152314099
2.9389999999999645,-0.524717384512948,-11.20630707779585
2.9610000000000127,-0.5040815046260413,-11.110972562768614
2.9829999999999472,-0.5116673667148455,-10.920110492741058
2.9950000000000045,-0.4842578602533866,-10.748494096193859
3.016999999999939,-0.45443908012997125,-10.661900873241114
3.0289999999999964,-0.4493193134202569,-10.61416943673939
3.050999999999931,-0.48605365695246094,-10.591424581150326
