Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,-0.34753,-0.95568,-6.84021
0.03400,-0.79828,-2.47507,-19.18509
0.04600,-0.93908,-3.10602,-25.60424
0.06800,-1.15192,-4.10766,-36.74901
0.09000,-1.38200,-4.85750,-47.09434
0.10200,-1.46409,-5.21382,-52.03725
0.12400,-1.79363,-5.86861,-59.98132
0.13600,-1.99093,-6.02963,-63.67188
0.15800,-2.27954,-6.41942,-69.32605
0.17000,-2.36114,-6.63381,-71.95287
0.19200,-2.37537,-6.80562,-76.71632
0.20400,-2.27140,-6.95267,-78.87902
0.22600,-2.35041,-7.02133,-82.54015
0.24800,-2.30114,-7.08325,-85.56509
0.26000,-2.30174,-7.19405,-86.43676
0.28200,-2.45173,-7.27749,-88.52544
0.29400,-2.50218,-7.27559,-89.62347
0.31600,-2.43582,-7.46466,-91.15811
0.32800,-2.37571,-7.30429,-91.67680
0.35000,-2.09427,-7.19640,-92.09776
0.37200,-2.04468,-7.24819,-92.47215
0.38400,-2.13115,-7.40594,-92.76791
0.40600,-2.30080,-7.56805,-92.77901
0.41800,-2.32259,-7.64004,-92.95229
0.44000,-2.25865,-7.95629,-93.13042
0.45200,-2.27687,-8.02002,-93.08663
0.47400,-2.28871,-8.18750,-93.98027
0.49600,-2.25104,-8.25327,-94.05270
0.50800,-2.22566,-8.13717,-94.13219
0.53000,-2.21736,-8.03237,-93.67116
0.54200,-2.17310,-7.97762,-94.12224
0.56400,-2.14795,-7.75710,-94.86457
0.57600,-2.05921,-7.71114,-94.84749
0.59800,-2.01692,-7.48754,-95.35798
0.61000,-2.04538,-7.48030,-95.34758
0.63200,-2.15632,-7.40033,-95.22203
0.65400,-2.27657,-7.30838,-95.20532
0.66600,-2.36638,-7.35372,-95.53802
0.68800,-2.17836,-7.73252,-95.59554
0.70000,-2.33429,-7.72407,-95.33449
0.72200,-2.53288,-7.86687,-94.32523
0.73400,-2.48981,-7.88523,-94.15413
0.75600,-2.27137,-7.97959,-94.53727
0.77800,-1.99290,-7.96744,-94.38993
0.79000,-1.96115,-7.87234,-94.43036
0.81200,-1.90513,-7.85930,-94.35963
0.82400,-1.79797,-8.02824,-94.35783
0.84600,-1.65755,-7.92097,-94.77188
0.85800,-1.61778,-7.86887,-94.68887
0.88000,-1.54985,-7.77060,-94.72240
0.89200,-1.52060,-7.83132,-94.85091
0.91400,-1.67933,-7.70309,-94.65081
0.93600,-1.82209,-7.79294,-94.45808
