Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,-0.50408,-0.95051,-6.82214
0.03400,-1.21780,-2.45398,-19.08625
0.04600,-1.46774,-3.08734,-25.36661
0.06800,-1.85468,-4.08210,-36.12721
0.09000,-2.21173,-4.83693,-45.76791
0.10200,-2.34545,-5.19316,-50.30363
0.12400,-2.74478,-5.84153,-57.57820
0.13600,-2.96808,-6.00761,-60.89793
0.15800,-3.30028,-6.39493,-66.10918
0.17000,-3.40917,-6.61078,-68.46442
0.19200,-3.47205,-6.79371,-72.35664
0.20400,-3.40169,-6.94346,-74.17329
0.22600,-3.52061,-7.03515,-77.23638
0.24800,-3.50726,-7.11012,-79.73307
0.26000,-3.52012,-7.21710,-80.53565
0.28200,-3.67698,-7.30054,-82.15770
0.29400,-3.73421,-7.30647,-83.00328
0.31600,-3.69110,-7.49431,-84.16722
0.32800,-3.64573,-7.35481,-84.62533
0.35000,-3.40280,-7.26522,-85.10583
0.37200,-3.36824,-7.31786,-85.54221
0.38400,-3.45100,-7.46303,-85.81610
0.40600,-3.61336,-7.61406,-85.90438
0.41800,-3.63485,-7.68190,-86.06046
0.44000,-3.57738,-7.97038,-86.23940
0.45200,-3.59605,-8.03423,-86.24479
0.47400,-3.61501,-8.19800,-86.86409
0.49600,-3.58092,-8.26098,-86.97720
0.50800,-3.55650,-8.15272,-87.05377
0.53000,-3.54503,-8.06145,-86.80367
0.54200,-3.50203,-8.01076,-87.09125
0.56400,-3.47882,-7.81311,-87.50520
0.57600,-3.39666,-7.76913,-87.49365
0.59800,-3.36070,-7.56478,-87.78201
0.61000,-3.38992,-7.55880,-87.81538
0.63200,-3.49564,-7.48641,-87.70559
0.65400,-3.60601,-7.39859,-87.75716
0.66600,-3.68965,-7.44051,-87.93906
0.68800,-3.51258,-7.78707,-88.08870
0.70000,-3.65627,-7.77610,-87.94013
0.72200,-3.84462,-7.90434,-87.40422
0.73400,-3.80742,-7.92637,-87.30147
0.75600,-3.61184,-8.01962,-87.52100
0.77800,-3.35806,-8.01185,-87.39037
0.79000,-3.32672,-7.92347,-87.39931
0.81200,-3.27852,-7.91296,-87.35044
0.82400,-3.18088,-8.07394,-87.35420
0.84600,-3.05300,-7.97957,-87.55007
0.85800,-3.01659,-7.93181,-87.49524
0.88000,-2.95393,-7.84424,-87.51273
0.89200,-2.92643,-7.90015,-87.59679
0.91400,-3.06988,-7.78134,-87.45621
0.93600,-3.20228,-7.86126,-87.44511
0.94800,-3.27888,-7.98715,-87.59845
0.97000,-3.28756,-8.03154,-87.79500
0.98200,-3.33681,-8.03769,-87.85708
1.00400,-3.41887,-8.10699,-87.74810
1.01600,-3.40292,-8.10983,-87.75680
1.03800,-3.41114,-8.14920,-88.18490
1.06000,-3.53945,-8.11292,-88.37020
1.07200,-3.55073,-8.14697,-88.42257
1.09900,-3.50584,-8.35611,-88.38426
1.11100,-3.50901,-8.32552,-88.35612
1.12300,-3.47859,-8.40663,-88.49467
1.14500,-3.36448,-8.37567,-88.58081
1.15700,-3.27489,-8.32665,-88.48283
1.17900,-3.12625,-8.29670,-88.29579
1.20100,-2.74755,-8.11088,-88.82301
1.21300,-2.70775,-8.18158,-88.84573
1.23500,-3.30304,-7.99196,-88.63076
1.24700,-3.24697,-8.08969,-88.51337
1.26900,-3.12106,-8.36613,-88.77701
1.28100,-3.07803,-8.52163,-89.06718
1.30300,-2.85937,-8.74788,-89.20521
1.32500,-2.80601,-8.47154,-89.17708
1.33700,-2.69318,-8.40672,-89.18532
1.35900,-2.56163,-8.24106,-88.98311
1.37100,-2.56981,-8.35346,-88.85681
1.39300,-2.89848,-8.16210,-88.60416
1.40500,-2.99019,-8.10731,-88.44801
1.42700,-3.05106,-7.91387,-88.71362
1.43928,-2.96124,-7.46931,-88.48025
1.46100,-2.75505,-6.95834,-88.95352
1.48300,-2.51030,-6.73412,-88.86886
1.49500,-2.44468,-6.32859,-88.89554
1.51700,-2.38078,-6.17514,-88.94471
1.52900,-2.33492,-6.07586,-88.97701
1.55100,-2.12923,-5.70655,-89.02223
1.56300,-2.04419,-4.84663,-89.27627
1.58500,-1.95850,-2.11966,-89.68552
1.60700,-1.23129,-2.50300,-89.79617
1.61900,-0.78253,-2.84970,-89.20626
1.64100,-0.30582,-3.61938,-87.64359
1.65300,-0.15912,-4.63246,-86.77866
1.67500,-0.21766,-6.79335,-85.37489
1.68700,-0.21301,-7.73101,-85.04877
1.70900,-0.06636,-9.27019,-85.12937
