Time,Phi (degrees),Theta (degrees)
0.00000,0.00000,0.00000
0.01200,-0.44764,-0.98092
0.03400,-1.01232,-2.55340
0.04600,-1.25159,-3.18883
0.06800,-1.59095,-4.19751
0.09000,-1.93985,-4.95750
0.10200,-2.09085,-5.30561
0.12400,-2.50230,-5.95539
0.13600,-2.74859,-6.11545
0.15800,-3.10902,-6.49550
0.17000,-3.23521,-6.70269
0.19200,-3.32756,-6.86909
0.20400,-3.27102,-7.00970
0.22600,-3.41403,-7.09144
0.24800,-3.42056,-7.15525
0.26000,-3.44221,-7.25771
0.28200,-3.61343,-7.33569
0.29400,-3.67753,-7.33853
0.31600,-3.64362,-7.52009
0.32800,-3.60393,-7.37791
0.35000,-3.36954,-7.28322
0.37200,-3.34120,-7.33275
0.38400,-3.42644,-7.47681
0.40600,-3.59334,-7.62582
0.41800,-3.61683,-7.69275
0.44000,-3.56225,-7.97959
0.45200,-3.58244,-8.04276
0.47400,-3.60304,-8.20556
0.49600,-3.57107,-8.26762
0.50800,-3.54770,-8.15897
0.53000,-3.53758,-8.06709
0.54200,-3.49544,-8.01601
0.56400,-3.47415,-7.81783
0.57600,-3.39243,-7.77365
0.59800,-3.35781,-7.56886
0.61000,-3.38730,-7.56276
0.63200,-3.49341,-7.49005
0.65400,-3.60423,-7.40214
0.66600,-3.68797,-7.44411
0.68800,-3.51058,-7.79022
0.70000,-3.65443,-7.77902
0.72200,-3.84366,-7.90636
0.73400,-3.80656,-7.92849
0.75600,-3.61091,-8.02147
0.77800,-3.35725,-8.01404
0.79000,-3.32599,-7.92570
0.81200,-3.27788,-7.91530
0.82400,-3.18026,-8.07629
0.84600,-3.05267,-7.98169
0.85800,-3.01627,-7.93399
0.88000,-2.95367,-7.84647
0.89200,-2.92612,-7.90238
0.91400,-3.06949,-7.78349
0.93600,-3.20195,-7.86348
0.94800,-3.27838,-7.98951
0.97000,-3.28702,-8.03397
0.98200,-3.33630,-8.04018
1.00400,-3.41846,-8.10946
1.01600,-3.40253,-8.11231
1.03800,-3.41063,-8.15176
1.06000,-3.53908,-8.11578
1.07200,-3.55036,-8.14982
1.09900,-3.50547,-8.35895
1.11100,-3.50865,-8.32836
1.12300,-3.47814,-8.40943
1.14500,-3.36412,-8.37834
1.15700,-3.27452,-8.32938
1.17900,-3.12587,-8.29968
1.20100,-2.74814,-8.11198
1.21300,-2.70823,-8.18276
1.23500,-3.30328,-7.99281
1.24700,-3.24725,-8.09072
1.26900,-3.12056,-8.36705
1.28100,-3.07712,-8.52257
1.30300,-2.85793,-8.74845
1.32500,-2.80473,-8.47240
1.33700,-2.69203,-8.40765
1.35900,-2.56039,-8.24237
1.37100,-2.56878,-8.35485
1.39300,-2.89712,-8.16289
1.40500,-2.98884,-8.10810
1.42700,-3.05031,-7.91503
1.43928,-2.95920,-7.47082
1.46100,-2.75366,-6.95983
1.48300,-2.50838,-6.73646
1.49500,-2.44232,-6.33101
1.51700,-2.37803,-6.17783
1.52900,-2.33214,-6.07861
1.55100,-2.12538,-5.71001
1.56300,-2.03923,-4.85017
1.58500,-1.93493,-2.12390
1.60700,-1.21328,-2.51290
1.61900,-0.76762,-2.86177
1.64100,-0.30175,-3.63598
1.65300,-0.16034,-4.64891
1.67500,-0.23453,-6.80786
1.68700,-0.23025,-7.74488
1.70900,-0.08273,-9.28289
1.73100,0.36151,-9.91420
1.74300,0.49953,-9.62084
1.76500,0.79557,-9.20154
1.77700,0.89289,-9.07060
1.79900,0.83657,-8.55733
1.81100,0.85744,-8.32392
1.83300,1.03203,-8.55495
1.84500,1.01001,-8.64513
1.86700,1.04096,-8.78222
1.88900,1.02675,-8.55967
1.90100,1.07245,-8.45579
1.92300,1.23067,-8.66086
1.93500,1.19674,-8.65302
1.95700,1.11168,-8.75989
1.96900,1.06359,-8.91967
1.99100,0.92972,-9.13715
2.01300,0.90646,-9.07556
2.02500,0.88255,-9.03223
2.04700,0.80608,-8.98182
2.05900,0.70448,-9.09148
2.08100,0.50875,-8.96329
2.09300,0.47039,-9.03790
2.11500,0.29757,-9.44810
2.13700,0.14827,-9.56120
2.14900,0.05778,-9.53846
2.17100,0.04193,-9.60940
2.18300,0.05494,-9.85349
2.20500,-0.03880,-10.09064
2.21700,-0.06585,-10.00279
2.23900,-0.06256,-9.89180
2.25100,-0.09253,-9.92313
2.27300,-0.11765,-10.08287
2.29500,-0.11034,-10.01324
2.30700,-0.11949,-9.96390
2.32900,-0.04424,-9.95093
2.34100,-0.05444,-9.85058
2.36300,-0.03829,-9.73825
2.37500,-0.04735,-9.74566
2.39700,-0.01971,-9.79191
2.41900,0.01015,-9.90808
2.43100,-0.00538,-9.96394
2.45300,-0.02957,-10.19714
2.46500,-0.04014,-10.33572
2.48700,-0.06780,-10.49362
2.49900,-0.08718,-10.46187
2.52100,-0.05993,-10.33795
2.54300,-0.07921,-10.07173
2.55500,-0.07719,-9.92489
2.57700,-0.16155,-9.72454
2.58900,-0.20093,-9.71761
2.61100,-0.27451,-9.90608
2.62300,-0.33770,-10.13318
2.64500,-0.49512,-10.59851
2.65700,-0.62009,-10.83770
2.67900,-0.73884,-11.36066
2.70100,-0.83196,-11.88427
2.71300,-0.87298,-12.02781
2.73500,-0.84578,-12.20035
2.74700,-0.86319,-12.28989
2.76900,-0.94412,-12.34507
2.78100,-0.94821,-12.37521
2.80300,-0.89917,-12.30896
2.82500,-0.90954,-12.25316
2.83700,-0.91704,-12.20243
2.85900,-0.90590,-11.96819
2.87100,-0.90406,-11.90683
2.89300,-0.94854,-11.92697
2.90500,-0.95114,-11.92338
2.92700,-0.93947,-11.95537
2.93900,-0.93794,-11.92586
2.96100,-0.92649,-11.80874
2.98300,-0.94127,-11.59105
2.99500,-0.91937,-11.40554
3.01700,-0.89924,-11.28539
3.02900,-0.89993,-11.20088
3.05100,-0.95340,-11.14326
3.06300,-0.96527,-11.05905
3.08500,-0.96984,-10.85530
3.10200,-1.00742,-10.83123
3.12400,-1.04494,-10.80628
3.13600,-1.08773,-10.85982
3.15800,-1.20091,-10.87684
3.17000,-1.34831,-11.20985
3.19200,-2.11494,-15.46014
3.20400,-3.58600,-20.54876
3.22600,-7.57015,-39.45728
3.24800,-11.58443,-46.97958
3.26000,-13.76379,-41.73930
3.28200,-15.47229,-20.24420
3.29400,-16.46773,-8.52361
3.31600,-18.57880,3.63381
3.33800,-20.79626,9.75109
3.35000,-22.17718,13.32721
3.37200,-27.07561,23.67798
3.38400,-31.78342,30.46248
3.40600,-43.83402,39.35353
3.41800,-48.75696,39.41223
3.44000,-51.90630,31.87995
3.45200,-53.75050,26.25800
3.47400,-59.90004,16.44269
3.48600,-64.27937,11.33034
3.50800,-73.59270,2.35896
3.53000,-84.87927,-3.36139
3.54200,-91.52852,-3.17371
3.56400,-101.28781,2.71718
3.57600,-104.98747,6.69594
3.59800,-111.14616,10.95225
3.61000,-115.12760,10.29175
3.63200,-122.47951,3.33237
3.65400,-127.72932,-7.11747
3.66600,-130.17201,-11.99807
3.68800,-136.39763,-15.81087
3.70000,-141.11693,-14.15336
3.72200,-150.37965,-4.71930
3.74400,-158.48143,8.14947
3.75600,-162.51701,14.38189
3.77800,-169.80000,20.57491
3.79000,-173.18539,20.66946
3.81200,-178.28197,16.69804
3.82400,179.22249,13.78401
3.84600,175.40303,9.24713
3.85800,173.52110,7.70792
3.88000,170.25819,6.79639
3.89200,168.54807,7.17280
3.91400,166.16606,9.02370
3.93600,164.00446,11.32704
3.94800,163.02425,12.61858
3.97000,161.88435,14.82936
3.98200,161.79329,15.98493
4.00400,163.02234,18.07435
4.02600,166.09727,20.32090
4.03800,169.04581,21.64639
4.06000,177.44525,24.15802
4.07200,-175.93578,25.18299
4.09400,-160.26126,24.85323
4.10600,-150.31909,22.90780
4.12800,-130.08641,15.31046
4.14000,-118.12941,8.85738
4.16200,-95.39760,-4.57227
4.18400,-73.91834,-13.46563
4.19600,-65.36797,-14.33342
4.21800,-50.20482,-8.15626
4.23000,-41.92959,-0.03805
4.25200,-33.96329,28.92414
4.26400,-41.75803,48.14620
4.28600,-92.81741,57.72573
4.30800,-90.60570,41.32940
4.32000,-81.31422,29.44968
4.34200,-68.94688,15.61961
4.35400,-63.43132,8.75165
4.37600,-61.78909,-9.21807
4.38800,-63.14930,-8.29955
4.41000,-64.67380,5.10675
4.42200,-65.67850,11.63167
4.44400,-56.09087,13.50403
4.46600,-42.61980,-1.97686
4.47800,-37.52534,-12.92520
4.50000,-28.58761,-18.64230
4.51200,-23.08169,-11.07787
4.53400,-17.17752,17.80574
4.54600,-16.95329,39.28513
4.56800,-42.79539,78.21656
4.59000,-167.72878,65.20924
4.60200,-171.76779,58.08662
4.62400,-170.11049,62.33635
4.63600,-163.98126,65.72897
4.65800,-152.43831,61.97504
4.67000,-148.08209,57.45811
4.69200,-132.18004,55.17245
4.71400,-103.44473,53.94963
4.72600,-88.01012,48.58384
4.74800,-76.03996,32.40717
4.76000,-75.36796,23.38224
4.78200,-77.85715,12.38219
4.79400,-79.63667,10.30526
4.81600,-81.61308,11.72109
4.82800,-82.78653,13.51609
4.85000,-84.92968,16.70078
4.87200,-86.00002,20.32909
4.88400,-87.25871,23.06930
4.90600,-96.74366,27.32653
4.91800,-106.70986,25.49676
4.94000,-120.15850,10.92649
4.95200,-122.08421,0.79101
4.97400,-120.72623,-13.14335
4.99600,-121.14040,-19.99796
5.00800,-124.72177,-20.04326
5.03000,-135.55431,-12.04706
5.04200,-141.60957,-1.95200
5.06400,-146.90289,25.30362
5.07600,-145.82535,40.42067
5.10300,-137.41284,60.54960
5.11500,-137.79779,62.42869
5.13700,-146.49475,58.38054
5.14900,-150.87132,55.02747
5.17100,-156.91930,48.43046
5.18300,-159.59085,43.57941
5.20500,-162.63312,33.35524
5.21700,-162.96417,29.32251
5.23900,-161.60062,27.51904
5.25100,-160.04428,28.62571
5.27300,-156.22559,30.43386
5.29500,-151.84732,29.14070
5.30700,-149.07460,26.75107
5.32900,-142.66699,21.32008
5.34100,-138.20824,18.76760
5.36300,-128.47282,15.31755
5.38500,-117.84816,12.76026
5.39700,-112.02938,11.78136
5.41900,-102.22337,11.39121
5.43100,-97.71246,12.15548
5.45300,-91.52993,14.71313
5.46500,-89.99250,16.15461
5.48700,-91.68446,18.02252
5.49900,-93.14610,18.82582
5.52100,-91.48112,22.07659
5.53300,-85.85547,24.29453
5.55500,-71.71991,22.61864
5.57700,-63.34650,17.97577
5.58900,-61.83644,17.81061
5.61100,-60.32922,20.58572
5.62300,-58.29844,22.34526
5.64500,-53.04776,25.96642
5.66700,-48.73679,31.33495
5.67900,-47.65726,35.19037
5.70100,-47.53705,42.17573
5.71300,-47.69654,45.25700
5.73500,-47.81013,49.57797
5.74700,-47.66654,51.13377
5.76900,-47.05079,52.39876
5.78100,-46.67019,52.34180
5.80300,-45.85328,50.93484
5.82500,-44.88692,48.14766
5.83700,-44.55337,46.11969
5.85900,-45.18095,42.49527
5.87100,-46.42938,40.94028
5.89300,-49.99366,38.69297
5.90500,-52.33170,37.55560
5.92700,-56.81013,35.18570
5.93900,-59.10022,33.60644
5.96100,-62.80641,30.27723
5.98300,-66.00941,26.64783
5.99500,-67.61161,24.63724
6.01700,-70.67157,21.24442
6.02900,-72.65307,19.87780
6.05100,-77.10039,18.73746
6.07300,-82.36831,18.90684
6.08500,-85.65775,19.30288
6.10700,-92.35072,19.59591
6.11900,-96.06796,19.01241
6.14100,-102.18913,16.36166
6.15300,-104.84225,14.46876
6.17500,-108.69622,11.31132
6.18700,-110.54227,10.21649
6.20900,-113.89904,9.74056
6.23100,-117.34745,10.81336
6.24300,-119.32018,11.89938
6.26500,-123.24055,13.91946
6.27700,-125.56174,14.57081
6.29900,-130.01990,14.46687
6.31100,-132.33195,13.80257
6.33300,-136.11072,11.96311
6.34500,-137.79462,11.06354
6.36700,-140.36505,9.90055
6.38900,-142.37254,9.55074
6.40100,-143.17371,9.83276
6.42300,-144.06230,11.08381
6.43500,-144.24136,11.95755
6.45700,-143.88310,13.79324
6.46900,-143.25279,14.80626
6.49100,-141.29214,16.46494
6.51300,-138.12152,17.89642
