Time,Phi (degrees),Theta (degrees)
0.0,-2.701,-5.758
0.011999999999943611,-3.28,-7.197
0.033999999999991815,-3.072,-7.686
0.045999999999935426,-3.031,-7.736
0.06799999999998363,-2.934,-7.926
0.08999999999991815,-3.142,-7.801
0.10199999999997544,-3.227,-7.928
0.12399999999990996,-3.715,-8.197
0.13599999999996726,-4.24,-7.831
0.15800000000001546,-4.375,-8.027
0.16999999999995907,-4.251,-8.238
0.19200000000000728,-3.843,-7.9
0.2039999999999509,-3.173,-8.159
0.2259999999999991,-3.585,-7.677
0.2479999999999336,-3.408,-7.561
0.2599999999999909,-3.511,-8.095
0.2819999999999254,-3.947,-8.03
0.2939999999999827,-3.994,-7.563
0.31599999999991724,-3.48,-7.893
0.32799999999997453,-3.209,-6.787
0.34999999999990905,-2.582,-6.99
0.37199999999995725,-2.889,-7.464
0.38400000000001455,-3.559,-8.383
0.40599999999994907,-3.851,-8.36
0.41800000000000637,-3.721,-8.253
0.4399999999999409,-3.403,-9.087
0.4519999999999982,-3.613,-8.642
0.4739999999999327,-3.594,-8.717
0.4959999999999809,-3.575,-8.678
0.5079999999999245,-3.584,-7.969
0.5299999999999727,-3.744,-7.613
0.5419999999999163,-3.551,-7.599
0.5639999999999645,-3.578,-7.023
0.5760000000000218,-3.005,-7.349
0.5979999999999563,-3.087,-6.905
0.6100000000000136,-3.327,-7.323
0.6319999999999482,-3.609,-7.156
0.6539999999999964,-3.798,-7.07
0.66599999999994,-4.042,-7.41
0.6879999999999882,-2.938,-8.564
0.6999999999999318,-4.078,-8.059
0.72199999999998,-4.185,-8.369
0.7339999999999236,-3.521,-7.882
0.7559999999999718,-2.898,-8.18
0.77800000000002,-2.411,-8.141
0.7899999999999636,-2.864,-7.485
0.8120000000000118,-2.962,-7.748
0.8239999999999554,-2.364,-8.578
0.8460000000000036,-2.352,-7.795
0.8579999999999472,-2.525,-7.59
0.8799999999999955,-2.623,-7.335
0.8919999999999391,-2.601,-8.015
0.9139999999999873,-3.366,-7.329
0.9359999999999218,-3.595,-7.867
0.9479999999999791,-3.74,-8.624
0.9699999999999136,-3.388,-8.296
