Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.02200,-0.53906,-0.72014,-24.68498
0.03400,-0.73668,-0.97207,-38.22377
0.05600,-1.10598,-1.37462,-62.65956
0.06800,-1.18287,-1.64462,-69.33245
0.09000,-1.41227,-1.91126,-81.31785
0.10200,-1.50276,-2.04401,-87.37377
0.12400,-1.59778,-2.28970,-97.78969
0.14600,-1.66467,-2.45988,-107.02997
0.15800,-1.71676,-2.58996,-111.08353
0.18000,-1.72494,-2.87072,-117.77741
0.19200,-1.77141,-2.91490,-120.94537
0.21400,-1.77623,-3.07239,-126.26362
0.22600,-1.81132,-3.11633,-128.38091
0.24800,-1.82224,-3.15979,-132.08717
0.26000,-1.83474,-3.17826,-133.66733
0.28200,-1.84487,-3.29365,-136.25952
0.30400,-1.80816,-3.29077,-138.29706
0.31600,-1.82455,-3.32707,-139.35143
0.33800,-1.85579,-3.32173,-140.53604
0.35000,-1.83996,-3.30244,-141.06863
0.37200,-1.91347,-3.32547,-141.70573
0.38400,-1.92099,-3.36370,-141.97707
0.41100,-1.91125,-3.37245,-142.48889
0.42300,-1.90875,-3.40508,-143.09933
0.44500,-1.92008,-3.50451,-143.26355
0.45700,-1.91206,-3.50347,-143.34383
0.47900,-1.87494,-3.47570,-144.29749
0.49100,-1.84238,-3.48674,-144.27505
0.51300,-1.82063,-3.50739,-145.00722
0.52500,-1.85740,-3.48804,-145.08788
0.54700,-1.86948,-3.50701,-145.40341
0.56900,-1.86381,-3.51937,-145.43523
0.58100,-1.89003,-3.53031,-145.43256
0.60300,-1.90199,-3.46542,-145.58131
0.61500,-1.89847,-3.48783,-145.55641
0.63700,-1.88132,-3.53232,-145.88234
0.64900,-1.87110,-3.49263,-146.13779
0.67100,-1.93314,-3.43462,-145.78258
0.69300,-1.90566,-3.46688,-146.01801
0.70500,-1.88026,-3.49029,-146.01628
0.72700,-1.88543,-3.49720,-146.25081
0.73900,-1.88801,-3.48864,-146.36493
0.76100,-1.86864,-3.45800,-146.07045
0.77300,-1.87767,-3.41808,-145.84561
0.79500,-1.90730,-3.42861,-145.75609
0.80700,-1.92267,-3.46644,-145.81662
0.82900,-1.92114,-3.47033,-145.70081
0.85100,-1.87761,-3.50700,-145.82710
0.86300,-1.85112,-3.51780,-146.01746
0.88500,-1.85862,-3.54808,-146.23163
0.89700,-1.86370,-3.55715,-146.33029
0.91900,-1.82482,-3.56726,-146.53307
0.93100,-1.81474,-3.55850,-146.40163
0.95300,-1.79084,-3.56446,-145.38570
0.97500,-1.80934,-3.59590,-145.55095
0.98700,-1.79737,-3.58924,-145.74484
1.00900,-1.85714,-3.59153,-145.65231
