Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.02200,-0.84001,-0.74292,-24.67847
0.03400,-1.16896,-1.03427,-38.21542
0.05600,-1.74870,-1.46880,-62.64344
0.06800,-1.91317,-1.76825,-68.83221
0.09000,-2.27533,-2.09180,-79.53364
0.10200,-2.42105,-2.24929,-84.54850
0.12400,-2.60523,-2.53453,-92.91425
0.14600,-2.74354,-2.74074,-100.03736
0.15800,-2.82377,-2.88218,-103.01134
0.18000,-2.88184,-3.17726,-107.85058
0.19200,-2.94888,-3.23298,-110.13439
0.21400,-2.99110,-3.40122,-113.90445
0.22600,-3.04095,-3.45348,-115.37186
0.24800,-3.07758,-3.50904,-117.95957
0.26000,-3.09962,-3.53422,-119.01850
0.28200,-3.12611,-3.65442,-120.77037
0.30400,-3.10828,-3.66098,-122.20989
0.31600,-3.12985,-3.69935,-122.93669
0.33800,-3.17006,-3.70275,-123.68740
0.35000,-3.16082,-3.68729,-123.97774
0.37200,-3.23615,-3.71334,-124.36720
0.38400,-3.24665,-3.75169,-124.53762
0.41100,-3.24468,-3.76243,-124.74304
0.42300,-3.24516,-3.79599,-125.17110
0.44500,-3.25984,-3.89020,-125.18493
0.45700,-3.25492,-3.89035,-125.18154
0.47900,-3.22466,-3.86801,-125.70225
0.49100,-3.19602,-3.87891,-125.67057
0.51300,-3.17872,-3.90052,-126.16059
0.52500,-3.21307,-3.88199,-126.25059
0.54700,-3.22378,-3.89810,-126.60638
0.56900,-3.22018,-3.91071,-126.57880
0.58100,-3.24477,-3.92046,-126.59625
0.60300,-3.25744,-3.86189,-126.54477
0.61500,-3.25520,-3.88285,-126.51289
0.63700,-3.24016,-3.92473,-126.81731
0.64900,-3.23159,-3.88816,-126.98243
0.67100,-3.28962,-3.83533,-126.64104
0.69300,-3.26533,-3.86566,-126.91883
0.70500,-3.24203,-3.88721,-126.97422
0.72700,-3.24655,-3.89267,-127.14782
0.73900,-3.24981,-3.88471,-127.21152
0.76100,-3.23263,-3.85682,-126.98806
0.77300,-3.24177,-3.82026,-126.78012
0.79500,-3.27078,-3.83122,-126.71074
0.80700,-3.28471,-3.86550,-126.76064
0.82900,-3.28368,-3.86843,-126.69185
0.85100,-3.24525,-3.90336,-126.77845
0.86300,-3.22106,-3.91329,-126.98396
0.88500,-3.22997,-3.94266,-127.13648
0.89700,-3.23477,-3.95068,-127.20623
0.91900,-3.19898,-3.96055,-127.20772
0.93100,-3.18988,-3.95224,-127.10352
0.95300,-3.16966,-3.95804,-126.32714
0.97500,-3.18643,-3.98634,-126.37419
0.98700,-3.17673,-3.98063,-126.53294
1.00900,-3.23339,-3.98257,-126.39446
1.02100,-3.25725,-3.97745,-126.39609
1.04300,-3.22899,-3.96930,-126.38113
1.05500,-3.21341,-3.96443,-126.35330
1.07700,-3.24255,-3.97973,-126.49837
1.09900,-3.21812,-3.93060,-126.65895
1.11100,-3.21258,-3.95734,-126.70981
1.13300,-3.23076,-3.89195,-126.88439
1.14500,-3.25538,-3.89731,-126.94662
1.16700,-3.23865,-3.96507,-127.09586
1.17900,-3.23856,-3.97591,-127.03770
1.20100,-3.21298,-3.97475,-127.13149
1.21300,-3.19363,-3.98465,-127.16276
1.23500,-3.19840,-4.02377,-127.05243
1.25700,-3.20784,-3.99847,-126.79097
1.26900,-3.24092,-3.99162,-126.80499
1.29100,-3.26095,-4.02827,-126.92380
1.30300,-3.26218,-4.02560,-126.87906
1.32500,-3.22863,-4.00833,-127.05575
1.33700,-3.23206,-4.01441,-126.95462
1.35900,-3.23604,-3.98205,-127.13465
1.38100,-3.24890,-3.98390,-127.29962
1.39300,-3.24257,-3.97751,-127.26917
1.41500,-3.26356,-3.97411,-127.07397
1.42700,-3.24407,-3.94040,-127.08582
1.44900,-3.25732,-3.93829,-126.96470
1.46100,-3.27433,-3.93577,-126.94624
1.48300,-3.23551,-3.96218,-126.90586
1.50500,-3.25621,-3.93125,-127.11916
1.51700,-3.26751,-3.93927,-127.17392
1.53900,-3.24578,-3.91600,-127.26118
1.55100,-3.25344,-3.91883,-127.21465
1.57300,-3.26490,-3.95026,-127.16984
1.58500,-3.23784,-3.96265,-127.14706
1.60700,-3.23720,-3.93199,-127.02314
1.61900,-3.24428,-3.94026,-127.03315
1.64100,-3.23140,-3.98696,-127.12199
1.66300,-3.23448,-3.97948,-126.95787
1.67500,-3.22700,-3.97257,-126.93532
1.69700,-3.22184,-3.96768,-127.05157
1.70900,-3.23395,-3.98372,-127.04147
1.73100,-3.22550,-3.97440,-126.86948
1.74300,-3.21405,-3.97175,-126.87026
1.76500,-3.21783,-3.95651,-126.94930
1.78700,-3.15723,-4.09338,-126.97745
1.79900,-3.08594,-4.30190,-126.93403
1.82100,-4.20292,-2.72485,-126.41382
1.83300,-4.41102,-1.61147,-126.27242
1.85500,-3.50935,-2.25890,-126.81073
1.86700,-3.30522,-2.74516,-127.07154
1.88900,-3.17867,-3.31584,-127.22367
1.91100,-3.24331,-3.22935,-127.51606
1.92300,-3.27765,-3.17360,-127.52863
1.94500,-3.22318,-3.39999,-127.52933
1.95700,-3.26461,-3.32466,-127.42442
1.97900,-3.24691,-3.30977,-127.39957
1.99100,-3.38533,-2.99155,-127.21791
2.01300,-3.46396,-3.03722,-127.31628
2.02500,-3.52328,-2.87148,-127.58133
2.04700,-3.50671,-2.93886,-127.71191
2.06900,-3.43264,-3.14619,-127.79033
2.08100,-3.45544,-3.24078,-127.81187
2.10300,-3.49026,-3.31097,-127.80735
2.11500,-3.52826,-3.22273,-127.70164
2.13700,-3.39242,-3.13406,-127.67734
2.14900,-3.36036,-3.19543,-127.72039
2.17100,-3.32307,-3.40555,-127.97080
2.19300,-3.25250,-3.30323,-128.08247
2.20500,-3.22164,-2.71868,-128.02417
2.22700,-3.39877,-2.59008,-128.56763
2.23900,-3.41423,-2.73539,-128.96588
2.26100,-3.06273,-3.35153,-128.67361
2.27300,-2.96168,-3.38533,-128.18285
2.29500,-2.99389,-3.35769,-126.70255
2.30700,-3.05029,-3.23229,-126.67661
2.32900,-3.12221,-3.04839,-126.46171
2.35100,-3.05490,-3.20814,-126.37199
2.36300,-3.07056,-3.06858,-126.28803
2.38500,-3.08090,-3.11684,-126.26582
2.39700,-3.07737,-3.14823,-126.32574
2.41400,-2.95671,-3.28719,-126.04963
2.43600,-2.40409,-3.77084,-125.46413
2.44800,-2.35821,-3.93406,-125.22927
2.47000,-2.10439,-4.80085,-125.77194
2.49200,-1.76631,-6.16369,-125.56813
2.50400,-1.43257,-6.79928,-124.60917
2.52600,-1.60334,-6.40576,-122.72893
2.53800,-1.60742,-6.71513,-122.33907
2.56000,-1.24453,-7.94751,-121.29041
2.57200,-1.21151,-8.16527,-120.92057
2.59400,-1.18907,-8.30093,-120.17369
2.61600,-1.61287,-7.28212,-119.22959
2.62800,-2.02670,-7.33559,-118.13820
2.65000,-2.07140,-7.70737,-116.43025
2.66200,-2.16144,-7.56985,-115.90920
2.68400,-2.17610,-8.23368,-116.00317
2.69600,-2.04967,-7.44707,-115.93530
2.71800,-1.84408,-6.09513,-115.54106
2.74000,-1.29971,-3.82281,-114.40745
2.75200,-0.84192,-2.62869,-113.60484
2.77400,-0.34803,-0.54983,-112.93023
2.78600,-0.15628,-0.87791,-112.99876
2.80800,0.26595,-3.71237,-112.96678
2.82000,0.56862,-4.67637,-112.48759
2.84200,0.95582,-6.90990,-111.80954
2.85400,1.22103,-7.53968,-111.10561
2.87600,1.79665,-7.86157,-109.17897
2.89800,2.26128,-8.21830,-107.71052
2.91000,2.67283,-8.79174,-106.80987
2.93200,3.59609,-9.20138,-105.44601
2.94400,4.18084,-9.33278,-104.72250
2.96600,5.41485,-9.50516,-102.07144
2.97800,6.12432,-9.31640,-100.04548
3.00000,6.96799,-9.01164,-96.97862
3.02200,6.76897,-9.73976,-95.37491
3.03400,6.26025,-10.82221,-95.05502
3.05600,4.92768,-11.72231,-94.85719
3.06800,4.72676,-11.60020,-94.49211
3.09000,4.74043,-10.92019,-93.29176
3.10200,4.91876,-10.14777,-92.61273
3.12400,5.31321,-8.53756,-91.54803
3.13600,5.25849,-8.26629,-91.33085
3.15800,4.80763,-9.15042,-91.01214
3.18000,4.48022,-9.33907,-90.93923
3.19200,4.32522,-9.49775,-90.86044
3.21400,3.94424,-10.08593,-90.64646
3.22600,3.86868,-10.16980,-90.41125
3.24800,3.88884,-9.98117,-90.01179
3.26000,3.80739,-10.27171,-89.95645
3.28200,3.53599,-10.70720,-89.89146
3.30400,3.45562,-11.06342,-89.83213
3.31600,3.49650,-11.28726,-89.63525
3.33800,3.37694,-11.83220,-89.44510
3.35000,3.41571,-11.63755,-89.26270
3.37200,3.49827,-11.20317,-88.93109
3.38400,3.57274,-10.94686,-88.76357
3.40600,3.79452,-9.87403,-88.54713
3.42800,3.97363,-9.39707,-88.16834
3.44000,3.94698,-9.55206,-87.91065
3.46200,3.57337,-10.46491,-87.61176
3.47400,3.51201,-10.68477,-87.43092
3.49600,3.37860,-11.14510,-87.22434
3.50800,3.50089,-10.99442,-87.10750
3.53000,3.83645,-10.04957,-86.77802
3.54200,3.95316,-9.70537,-86.73443
3.56400,4.14916,-9.65450,-86.49603
3.58600,4.07273,-10.86974,-86.24319
3.59800,3.84612,-12.34984,-86.00150
3.62000,3.73222,-13.41016,-85.56699
3.63200,3.82262,-13.50608,-85.36252
3.65400,4.17876,-12.30201,-85.08862
3.66600,4.35241,-11.65139,-84.94707
3.68800,4.40051,-11.30551,-84.89825
3.71000,4.37255,-10.91169,-84.66248
3.72200,4.24420,-11.13534,-84.62206
3.74400,4.05912,-11.94275,-84.54449
3.75600,4.34292,-11.38689,-84.40534
3.77800,5.08061,-7.68015,-84.23280
3.79000,5.36819,-6.16961,-84.33624
3.81200,5.40308,-5.23652,-84.63293
3.83400,5.13175,-6.57717,-84.83261
3.84600,4.83273,-8.81010,-84.70819
3.86800,4.39912,-11.84011,-84.56190
3.88000,4.52484,-11.94078,-84.42789
3.90200,4.98984,-10.81405,-84.31427
3.91400,5.18240,-10.27757,-84.40034
3.93600,5.47809,-9.29192,-84.68031
3.94800,5.59123,-8.87585,-84.72822
3.97000,5.72697,-8.71113,-84.75157
3.99200,5.78726,-9.12903,-84.86884
4.00400,5.87342,-8.77420,-85.03621
4.02600,5.95989,-8.50626,-85.07362
4.03800,5.94028,-8.58107,-85.04601
4.06000,5.73036,-8.93008,-84.95281
4.07200,5.69260,-8.92432,-84.93748
4.09400,5.70619,-9.70705,-84.83437
4.11600,5.46814,-10.30238,-84.97994
4.12800,5.33473,-10.41548,-85.12204
4.15000,5.38029,-9.98797,-85.34200
4.16200,5.32610,-9.85338,-85.31188
4.18400,5.04899,-9.81932,-85.11343
4.19600,4.95251,-9.60050,-85.01998
4.21800,4.86047,-9.47134,-85.02036
4.24000,4.79528,-10.21669,-85.12821
4.25200,4.74070,-10.81722,-85.23943
4.27400,4.65937,-11.84175,-85.43774
4.28600,4.67116,-11.82855,-85.48046
4.30800,4.58363,-11.63181,-85.34538
4.32000,4.46611,-11.60889,-85.25291
4.34200,4.29198,-10.84271,-85.28240
4.35400,4.26444,-10.68993,-85.38581
4.37600,4.27499,-10.99650,-85.68782
4.39800,4.29828,-11.30725,-85.89859
4.41500,4.30966,-11.52160,-85.98481
4.42700,4.28792,-11.96897,-86.01270
4.44900,4.25688,-12.40558,-86.09668
4.46100,4.20845,-12.63203,-86.11742
4.48300,3.90326,-13.30461,-85.85607
4.49500,3.66485,-13.72411,-85.81483
4.51700,3.67926,-13.56809,-85.77776
4.53900,4.02269,-13.03910,-85.83337
4.55100,4.19701,-13.02659,-85.77280
4.57300,4.45149,-12.94565,-85.90189
4.58500,4.50320,-13.22536,-86.06571
4.60700,4.55284,-13.72857,-86.48501
4.61900,4.60609,-14.15038,-86.64423
4.64100,4.87485,-14.29772,-86.97054
4.66300,5.28321,-13.86679,-87.23125
4.67500,5.41300,-13.62126,-87.38942
4.69700,5.52741,-13.35106,-87.73801
4.70900,5.57134,-13.15274,-88.00913
4.73100,5.70636,-12.80593,-88.51764
4.74300,5.76091,-12.45069,-88.77003
4.76500,6.02003,-11.33626,-89.18725
4.78700,6.34028,-9.36736,-89.64268
4.79900,6.50584,-8.14814,-89.89226
4.82100,6.61255,-6.34452,-90.38259
4.83300,6.66372,-6.35540,-90.60881
4.85500,6.51382,-7.94481,-90.75542
4.86700,6.47642,-8.42339,-90.83961
4.88900,6.54180,-8.47886,-91.14190
4.90100,6.61667,-8.26579,-91.35615
4.92300,7.03161,-7.37254,-91.73267
4.94500,7.45899,-6.39253,-92.06701
4.95700,7.58844,-6.19684,-92.20789
4.97900,7.60552,-6.32551,-92.51537
4.99100,7.61332,-6.70404,-92.65842
5.01300,7.57667,-7.73308,-92.99060
5.02500,7.73027,-7.77084,-93.22626
5.04700,8.31583,-7.31746,-93.34415
5.06900,8.80590,-6.81449,-93.52916
5.08100,8.97227,-6.67043,-93.67987
5.10300,9.18445,-6.34369,-93.83111
5.11500,9.27518,-6.34929,-93.87329
5.13700,9.45351,-6.25579,-94.26068
5.14900,9.63548,-6.08282,-94.45169
5.17100,9.92141,-5.91252,-94.74568
5.19300,10.12548,-6.12673,-95.04655
5.20500,10.21330,-6.07869,-95.27007
5.22700,10.31436,-6.00031,-95.60422
5.23900,10.37893,-5.90132,-95.75933
5.26100,10.58085,-4.79245,-96.23627
5.27300,10.62372,-3.74706,-96.56974
5.29500,10.67857,-2.22519,-97.25557
5.30700,10.72588,-1.70018,-97.47740
5.32900,10.68592,-1.95647,-97.76183
5.35100,10.74476,-2.85493,-97.97722
5.36300,10.88468,-3.00019,-98.16756
5.38500,11.42170,-2.13728,-98.66906
5.39700,11.71063,-1.71108,-98.94802
5.41900,12.11928,-0.95843,-99.49974
5.43100,12.32457,-0.87516,-99.69373
5.45300,12.71172,-1.23435,-99.90485
5.47500,13.21191,-1.23833,-100.16747
5.48700,13.48736,-1.24790,-100.29379
5.50900,13.93047,-1.41540,-100.55125
5.52100,14.17501,-1.42300,-100.68204
5.54300,14.43233,-1.90717,-100.84717
