Time,Phi (degrees),Theta (degrees)
0.00000,0.00000,0.00000
0.02200,-0.67737,-0.92619
0.03400,-0.99051,-1.23484
0.05600,-1.51344,-1.75023
0.06800,-1.68981,-2.02628
0.09000,-2.06903,-2.32842
0.10200,-2.23199,-2.46520
0.12400,-2.43505,-2.71825
0.14600,-2.59625,-2.89481
0.15800,-2.68978,-3.02110
0.18000,-2.76320,-3.29001
0.19200,-2.84264,-3.33461
0.21400,-2.90121,-3.48363
0.22600,-2.96055,-3.52759
0.24800,-3.01238,-3.56923
0.26000,-3.04151,-3.58818
0.28200,-3.07798,-3.69827
0.30400,-3.06984,-3.69619
0.31600,-3.09544,-3.73106
0.33800,-3.14261,-3.72881
0.35000,-3.13646,-3.71071
0.37200,-3.21664,-3.73278
0.38400,-3.22926,-3.76926
0.41100,-3.23161,-3.77625
0.42300,-3.23345,-3.80854
0.44500,-3.25054,-3.90069
0.45700,-3.24669,-3.89992
0.47900,-3.21829,-3.87596
0.49100,-3.19042,-3.88622
0.51300,-3.17427,-3.90670
0.52500,-3.20920,-3.88774
0.54700,-3.22078,-3.90312
0.56900,-3.21794,-3.91512
0.58100,-3.24287,-3.92460
0.60300,-3.25606,-3.86558
0.61500,-3.25408,-3.88634
0.63700,-3.23933,-3.92784
0.64900,-3.23102,-3.89112
0.67100,-3.28920,-3.83788
0.69300,-3.26511,-3.86799
0.70500,-3.24194,-3.88946
0.72700,-3.24667,-3.89481
0.73900,-3.25003,-3.88681
0.76100,-3.23296,-3.85887
0.77300,-3.24212,-3.82226
0.79500,-3.27128,-3.83314
0.80700,-3.28525,-3.86740
0.82900,-3.28433,-3.87028
0.85100,-3.24596,-3.90514
0.86300,-3.22180,-3.91501
0.88500,-3.23075,-3.94438
0.89700,-3.23558,-3.95239
0.91900,-3.19985,-3.96224
0.93100,-3.19077,-3.95392
0.95300,-3.17062,-3.95985
0.97500,-3.18742,-3.98813
0.98700,-3.17774,-3.98239
1.00900,-3.23443,-3.98424
1.02100,-3.25831,-3.97912
1.04300,-3.23007,-3.97097
1.05500,-3.21450,-3.96610
1.07700,-3.24363,-3.98143
1.09900,-3.21930,-3.93225
1.11100,-3.21375,-3.95899
1.13300,-3.23204,-3.89362
1.14500,-3.25665,-3.89899
1.16700,-3.23983,-3.96671
1.17900,-3.23974,-3.97756
1.20100,-3.21417,-3.97636
1.21300,-3.19481,-3.98626
1.23500,-3.19962,-4.02537
1.25700,-3.20900,-4.00005
1.26900,-3.24209,-3.99322
1.29100,-3.26209,-4.02989
1.30300,-3.26332,-4.02722
1.32500,-3.22981,-4.00989
1.33700,-3.23325,-4.01598
1.35900,-3.23729,-3.98363
1.38100,-3.25015,-3.98550
1.39300,-3.24382,-3.97912
1.41500,-3.26479,-3.97569
1.42700,-3.24531,-3.94197
1.44900,-3.25855,-3.93986
1.46100,-3.27556,-3.93734
1.48300,-3.23675,-3.96376
1.50500,-3.25750,-3.93287
1.51700,-3.26879,-3.94090
1.53900,-3.24708,-3.91761
1.55100,-3.25474,-3.92044
1.57300,-3.26619,-3.95186
1.58500,-3.23914,-3.96426
1.60700,-3.23846,-3.93361
1.61900,-3.24553,-3.94187
1.64100,-3.23261,-3.98856
1.66300,-3.23568,-3.98108
1.67500,-3.22820,-3.97418
1.69700,-3.22305,-3.96928
1.70900,-3.23516,-3.98532
1.73100,-3.22669,-3.97601
1.74300,-3.21525,-3.97337
1.76500,-3.21904,-3.95813
1.78700,-3.15840,-4.09498
1.79900,-3.08719,-4.30353
1.82100,-4.20348,-2.72600
1.83300,-4.41272,-1.61287
1.85500,-3.50919,-2.25779
1.86700,-3.30443,-2.74387
1.88900,-3.17732,-3.31464
1.91100,-3.24242,-3.22856
1.92300,-3.27686,-3.17292
1.94500,-3.22255,-3.39949
1.95700,-3.26399,-3.32421
1.97900,-3.24643,-3.30949
1.99100,-3.38487,-2.99133
2.01300,-3.46355,-3.03727
2.02500,-3.52301,-2.87162
2.04700,-3.50655,-2.93911
2.06900,-3.43244,-3.14649
2.08100,-3.45526,-3.24114
2.10300,-3.49019,-3.31142
2.11500,-3.52820,-3.22322
2.13700,-3.39244,-3.13464
2.14900,-3.36043,-3.19605
2.17100,-3.32310,-3.40621
2.19300,-3.25265,-3.30392
2.20500,-3.22157,-2.71941
2.22700,-3.39880,-2.59088
2.23900,-3.41426,-2.73622
2.26100,-3.06385,-3.35298
2.27300,-2.96278,-3.38676
2.29500,-2.99494,-3.35913
2.30700,-3.05143,-3.23377
2.32900,-3.12352,-3.04995
2.35100,-3.05586,-3.20956
2.36300,-3.07165,-3.07002
2.38500,-3.08188,-3.11831
2.39700,-3.07830,-3.14969
2.41400,-2.95745,-3.28849
2.43600,-2.40410,-3.77131
2.44800,-2.35807,-3.93450
2.47000,-2.10207,-4.80069
2.49200,-1.76256,-6.16319
2.50400,-1.42859,-6.79858
2.52600,-1.59988,-6.40516
2.53800,-1.60366,-6.71455
2.56000,-1.23774,-7.94596
2.57200,-1.20457,-8.16368
2.59400,-1.18210,-8.29928
2.61600,-1.61011,-7.28207
2.62800,-2.02386,-7.33660
2.65000,-2.06669,-7.70851
2.66200,-2.15723,-7.57118
2.68400,-2.16835,-8.23505
2.69600,-2.04444,-7.44804
2.71800,-1.84578,-6.09509
2.74000,-1.31391,-3.82009
2.75200,-0.85981,-2.62487
2.77400,-0.37697,-0.54395
2.78600,-0.18403,-0.87175
2.80800,0.24624,-3.70539
2.82000,0.54803,-4.66994
2.84200,0.92648,-6.90528
2.85400,1.18966,-7.53624
2.87600,1.76338,-7.86307
2.89800,2.22588,-8.22365
2.91000,2.63538,-8.79900
2.93200,3.55633,-9.21536
2.94400,4.14098,-9.34898
2.96600,5.37511,-9.52976
2.97800,6.08622,-9.34408
3.00000,6.93190,-9.04099
3.02200,6.73404,-9.76977
3.03400,6.22558,-10.85223
3.05600,4.89339,-11.75213
3.06800,4.69288,-11.63005
3.09000,4.70764,-10.95040
3.10200,4.88662,-10.17818
3.12400,5.28214,-8.56821
3.13600,5.19301,-8.21484
3.15800,4.74243,-9.09990
3.18000,4.41564,-9.28919
3.19200,4.26093,-9.44825
