Time,Phi (degrees),Theta (degrees)
0.0,-2.183,-2.633
0.021999999999934516,-2.775,-3.357
0.0340000000001055,-3.138,-3.231
0.05600000000004002,-3.197,-3.611
0.06799999999975626,-3.017,-3.954
0.09000000000014552,-3.232,-3.649
0.10199999999986176,-3.276,-3.706
0.12399999999979627,-3.179,-3.629
0.1459999999997308,-3.167,-3.525
0.15799999999990177,-3.262,-3.805
0.1799999999998363,-3.102,-4.032
0.19200000000000728,-3.266,-3.867
0.2139999999999418,-3.095,-4.022
0.22600000000011278,-3.244,-3.93
0.2480000000000473,-3.149,-3.86
0.25999999999976353,-3.181,-3.722
0.2820000000001528,-3.166,-3.898
0.3040000000000873,-3.001,-3.798
0.31599999999980355,-3.145,-3.89
0.33799999999973807,-3.209,-3.748
0.34999999999990905,-3.066,-3.713
0.37199999999984357,-3.303,-3.77
0.38400000000001455,-3.282,-3.902
0.4109979999998359,-3.171,-3.874
0.42299999999977445,-3.195,-3.907
0.44499999999970896,-3.205,-4.124
0.45699999999987995,-3.135,-3.997
0.47899999999981446,-3.068,-3.841
0.49099999999998545,-2.926,-3.935
0.51299999999992,-2.987,-3.935
0.525000000000091,-3.261,-3.825
0.5470000000000255,-3.214,-3.919
0.56899999999996,-3.159,-3.93
0.581000000000131,-3.295,-3.987
0.6030000000000655,-3.245,-3.712
0.6149999999997817,-3.185,-3.951
0.6369999999997162,-3.13,-4.026
0.6489999999998872,-3.084,-3.757
0.6709999999998217,-3.347,-3.618
0.6929999999997563,-3.176,-3.842
0.7049999999999272,-3.021,-3.988
0.7269999999998618,-3.117,-3.935
0.7390000000000327,-3.159,-3.887
0.7609999999999673,-3.089,-3.765
0.7730000000001382,-3.169,-3.57
0.7950000000000728,-3.265,-3.724
0.806999999999789,-3.315,-4.007
0.8289999999997235,-3.225,-3.938
0.8510000000001128,-3.057,-4.014
0.862999999999829,-2.953,-4.024
0.8849999999997635,-3.094,-4.042
0.8969999999999345,-3.152,-4.031
0.918999999999869,-3.011,-3.976
0.93100000000004,-3.02,-3.915
0.9529999999999745,-2.95,-3.965
0.974999999999909,-3.093,-4.058
0.98700000000008,-2.983,-3.974
1.0090000000000146,-3.254,-3.989
1.0209999999997308,-3.327,-3.955
1.04300000000012,-3.1,-3.916
1.0549999999998363,-3.029,-3.909
1.0769999999997708,-3.209,-4.002
1.09900000000016,-3.059,-3.785
1.1109999999998763,-3.057,-4.04
1.1329999999998108,-3.151,-3.727
1.1449999999999818,-3.316,-3.875
1.1669999999999163,-3.133,-4.18
1.1790000000000873,-3.11,-4.147
1.2010000000000218,-2.993,-4.002
1.212999999999738,-2.871,-4.043
1.2350000000001273,-3.04,-4.193
1.2570000000000618,-3.112,-3.966
1.268999999999778,-3.386,-3.906
1.2909999999997126,-3.326,-4.1
1.3029999999998836,-3.218,-4.023
1.324999999999818,-3.029,-3.937
1.336999999999989,-3.109,-4.04
1.3589999999999236,-3.157,-3.867
1.3809999999998581,-3.21,-3.951
1.393000000000029,-3.093,-3.875
1.4149999999999636,-3.237,-3.925
1.4270000000001346,-2.986,-3.586
1.4490000000000691,-3.108,-3.778
1.4609999999997854,-3.258,-3.87
1.4829999999997199,-3.018,-3.992
1.5050000000001091,-3.148,-3.84
1.5169999999998254,-3.224,-3.981
1.53899999999976,-3.07,-3.802
1.5509999999999309,-3.168,-3.904
1.5729999999998654,-3.192,-3.998
1.5850000000000364,-2.849,-4.078
1.606999999999971,-2.978,-3.826
1.6190000000001419,-3.119,-3.953
1.6410000000000764,-3.047,-4.21
1.663000000000011,-3.092,-3.983
1.6749999999997272,-3.001,-3.909
1.6970000000001164,-3.019,-3.857
1.7089999999998327,-3.181,-4.07
1.7309999999997672,-3.061,-3.97
1.7429999999999382,-2.955,-3.87
1.7649999999998727,-3.019,-3.857
1.7869999999998072,-2.972,-3.758
1.7989999999999782,-3.054,-3.584
1.8209999999999127,-8.209,-0.501
1.8330000000000837,-5.101,-0.136
1.8550000000000182,1.348,-4.71
1.8669999999997344,0.177,-6.29
1.8890000000001237,-1.93,-4.961
1.9110000000000582,-2.808,-4.111
1.9229999999997744,-3.17,-3.582
1.944999999999709,-3.174,-3.555
1.95699999999988,-3.345,-3.38
1.9789999999998145,-3.104,-3.132
1.9909999999999854,-4.748,0.197
2.01299999999992,-4.473,-2.01
2.025000000000091,-3.516,-3.478
2.0470000000000255,-2.961,-4.736
2.06899999999996,-2.501,-5.246
2.081000000000131,-3.543,-4.445
2.1030000000000655,-4.053,-3.023
2.1149999999997817,-3.823,-3.241
2.1369999999997162,-1.962,-3.464
2.1489999999998872,-2.844,-1.886
2.1709999999998217,-2.89,-3.738
2.1929999999997563,-2.327,-2.704
2.2049999999999272,-0.65,1.97
2.2269999999998618,-3.762,0.499
2.2390000000000327,-3.421,-3.931
2.2609999999999673,0.118,-9.36
2.2730000000001382,-0.24,-5.607
2.2950000000000728,-2.808,-3.917
2.306999999999789,-4.067,-1.212
2.3289999999997235,-4.764,-0.007
2.3510000000001128,-3.178,-3.815
2.362999999999829,-3.76,-0.602
2.3849999999997635,-3.354,-2.439
2.3969999999999345,-2.882,-3.405
2.4139979999999923,-1.908,-5.032
2.436000000000149,-2.771,-2.424
2.4479999999998654,-5.917,-1.726
2.4699999999998,-3.478,-6.017
2.4919999999997344,-1.153,-14.161
2.5039999999999054,3.891,-19.078
2.52599999999984,-3.407,-0.26
2.538000000000011,-3.351,-3.382
2.5599999999999454,4.393,-15.725
2.5720000000001164,1.693,-7.376
2.594000000000051,7.842,-19.842
2.6159999999999854,3.272,-12.236
2.6280000000001564,-10.531,-6.764
2.650000000000091,-7.601,-5.28
2.661999999999807,-9.703,6.695
2.6839999999997417,-4.842,-1.337
2.6959999999999127,-2.678,-6.1
2.717999999999847,-4.16,-6.74
2.7399999999997817,-2.176,-9.534
2.7519999999999527,0.383,-4.019
2.7739999999998872,-2.375,4.668
2.786000000000058,2.399,1.326
2.8079999999999927,4.935,-2.741
2.819999999999709,3.705,-3.907
2.8420000000000982,0.306,-3.913
2.8539999999998145,1.919,-8.65
2.875999999999749,-2.751,-2.712
2.8980000000001382,-0.434,-7.116
2.9099999999998545,1.653,-11.092
2.931999999999789,1.338,-5.56
2.94399999999996,0.251,-10.331
2.9659999999998945,7.295,-15.105
2.9780000000000655,7.173,-13.927
3.0,7.428,-6.466
3.0219999999999345,7.067,-2.904
3.0340000000001055,8.529,-1.394
3.05600000000004,7.952,-7.553
3.0679999999997563,6.23,-14.733
3.0900000000001455,5.326,-13.321
3.1019999999998618,5.746,-10.093
3.1239999999997963,2.119,-5.133
3.1359999999999673,0.553,1.372
3.1579999999999018,3.568,-2.864
3.1799999999998363,4.31,-4.844
3.1920000000000073,4.001,-6.537
3.213999999999942,5.3,-7.724
3.2260000000001128,5.785,-9.732
3.2480000000000473,4.346,-8.819
3.2599999999997635,2.387,-5.376
3.282000000000153,2.427,-6.397
3.3040000000000873,5.737,-9.355
3.3159999999998035,5.237,-8.325
3.337999999999738,5.427,-11.407
3.349999999999909,4.79,-10.931
3.3719999999998436,5.171,-9.916
3.3840000000000146,5.446,-7.625
3.405999999999949,5.403,-8.428
3.4279999999998836,5.915,-8.903
3.4400000000000546,5.769,-7.414
3.461999999999989,3.719,-7.147
3.47400000000016,3.223,-8.311
3.4960000000000946,1.425,-8.366
3.507999999999811,3.729,-10.242
3.5299999999997453,3.701,-8.431
3.5419999999999163,5.189,-8.195
3.563999999999851,5.685,-8.431
3.5859999999997854,3.693,-7.624
3.5979999999999563,3.173,-10.593
3.619999999999891,2.548,-10.952
3.632000000000062,3.204,-11.952
3.6539999999999964,3.869,-11.473
3.6659999999997126,2.828,-8.787
3.688000000000102,5.677,-9.468
3.7100000000000364,5.144,-8.922
3.7219999999997526,5.586,-8.395
3.744000000000142,5.258,-8.32
3.755999999999858,6.159,-8.657
3.7779999999997926,6.612,-9.015
3.7899999999999636,9.387,-4.739
3.811999999999898,10.94,-0.28
3.8339999999998327,10.525,-3.056
3.8460000000000036,7.921,-9.269
3.867999999999938,4.673,-10.598
3.880000000000109,3.947,-11.342
