Time,Phi (degrees),Theta (degrees)
0.0,-0.060777703019313435,-0.08169256997193111
0.011999999999943611,-0.11434753121380645,-0.17605880902840668
0.03399999999987813,-0.16157426542357814,-0.29880458150257855
0.04599999999982174,-0.22399933699742433,-0.35885576159260163
0.06799999999998363,-0.28600441024359935,-0.42959206350314677
0.08999999999991815,-0.3342677842355578,-0.513411912869289
0.10199999999986176,-0.39317672492338623,-0.5665328570830181
0.12399999999979627,-0.44569018940885385,-0.6398808256749924
0.13599999999996726,-0.49387291082329376,-0.6956538690568419
0.15799999999990177,-0.5507902433813728,-0.7460277119117162
0.16999999999984539,-0.5947548098528149,-0.8125182013579733
0.19200000000000728,-0.6426333379263677,-0.871496184273841
0.2039999999999509,-0.6911447792394614,-0.9296357652559853
0.2259999999998854,-0.7402445006191569,-0.9935198357890961
0.24799999999981992,-0.7850399963178667,-1.023496041979016
0.2599999999999909,-0.8308642775221545,-1.0766090179970391
0.2819999999999254,-0.875228115670013,-1.1298894965980677
0.29399999999986903,-0.923328130578739,-1.1725625478471666
0.31599999999980355,-0.9594689135773101,-1.235232401228297
0.32799999999997453,-1.0052582608449134,-1.2861038631740493
0.34999999999990905,-1.0626145131090046,-1.3188810411605474
0.37199999999984357,-1.098597358982853,-1.3820740867298567
0.3839999999997872,-1.1465297393112797,-1.426586683662849
0.40599999999994907,-1.1921743125237183,-1.4587413976286407
0.4179999999998927,-1.2252680658517219,-1.506675411202684
0.4399999999998272,-1.2632079735405695,-1.541225903774322
0.4519999999999982,-1.301216418584832,-1.5843752101011066
0.4739999999999327,-1.3356082435368586,-1.6397551136808846
0.48628499999995256,-1.3703690568500484,-1.6795878040372954
0.5079999999998108,-1.3969930186770898,-1.7339526383946993
0.5299999999999727,-1.4366336043256498,-1.7728269446039988
0.5419999999999163,-1.4736322049773554,-1.8072259285424652
0.5639999999998508,-1.5025523175303181,-1.855284628328694
0.5759999999997945,-1.5310152847213465,-1.8872306870130404
0.5979999999999563,-1.5530823490543029,-1.9192159964409459
0.6099999999999,-1.5845930802298958,-1.955794218030194
0.6319999999998345,-1.6190253181584042,-1.9807812217735266
0.6539999999999964,-1.64755299540203,-2.01052135747931
0.66599999999994,-1.674963327662452,-2.0445057936324633
0.6829979999999978,-1.7081317503974867,-2.0720728104127097
0.7049999999999272,-1.7330920718741558,-2.1099185960425144
0.7169999999998709,-1.7621080233978212,-2.1409741837765495
0.7389999999998054,-1.793684310949501,-2.171318861034891
0.7509999999999764,-1.8138845299322948,-2.2019957362324987
0.7729999999999109,-1.844224487588063,-2.2291378172992347
0.7949999999998454,-1.8571695393589596,-2.265984735688388
0.806999999999789,-1.8776188467453137,-2.2955501337400563
