Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,-0.26055,-0.45565,-13.64752
0.03400,-0.73808,-1.02856,-38.24848
0.04600,-0.90611,-1.25702,-51.73133
0.06800,-1.22278,-1.63076,-76.07396
0.09000,-1.38437,-2.00808,-87.76700
0.10200,-1.42767,-2.17171,-93.62501
0.12400,-1.56942,-2.44028,-103.66360
0.13600,-1.57059,-2.51699,-108.22508
0.15800,-1.62717,-2.70124,-115.78484
0.17000,-1.64148,-2.75444,-118.98607
0.19200,-1.67249,-2.91175,-124.61413
0.20400,-1.68595,-2.95901,-127.31156
0.22600,-1.72566,-3.01632,-131.20703
0.24800,-1.69362,-3.01092,-134.32681
0.26000,-1.71229,-3.02925,-135.71609
0.28200,-1.74687,-3.03837,-138.35182
0.29400,-1.77295,-3.06873,-139.18111
0.31600,-1.77566,-3.12037,-140.82468
0.32800,-1.80063,-3.15326,-141.45357
0.35000,-1.88493,-3.12918,-143.06459
0.37200,-1.87950,-3.16881,-143.42958
0.38400,-1.90275,-3.17999,-143.84247
0.40600,-1.94496,-3.18785,-144.53656
0.41800,-1.91834,-3.20615,-144.63477
0.44000,-1.87063,-3.21436,-145.14577
0.45200,-1.87917,-3.22534,-145.29984
0.47400,-1.83022,-3.28901,-145.39429
0.48628,-1.81671,-3.29939,-145.51059
0.50800,-1.79275,-3.37028,-145.62068
0.53000,-1.85354,-3.37045,-146.00032
0.54200,-1.87354,-3.36300,-146.06732
0.56400,-1.84069,-3.35019,-146.31958
0.57600,-1.81095,-3.33041,-146.45355
0.59800,-1.75389,-3.30988,-146.81090
0.61000,-1.77167,-3.31279,-146.71063
0.63200,-1.77700,-3.31578,-146.54924
0.65400,-1.78386,-3.25354,-146.55161
0.66600,-1.79003,-3.25249,-146.92030
0.68300,-1.82059,-3.25775,-146.88380
0.70500,-1.80414,-3.27038,-147.03265
0.71700,-1.81425,-3.27907,-146.88771
0.73900,-1.84922,-3.24193,-146.57730
0.75100,-1.81771,-3.24147,-146.80519
0.77300,-1.85064,-3.23927,-147.13834
