Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,-0.42252,-0.47659,-13.64858
0.03400,-1.16220,-1.07637,-38.22609
0.04600,-1.44282,-1.33519,-51.70483
0.06800,-1.90179,-1.79990,-63.79756
0.09000,-2.21280,-2.21587,-75.02252
0.10200,-2.31909,-2.39742,-80.51272
0.12400,-2.55479,-2.69413,-89.78882
0.13600,-2.60112,-2.78878,-93.95882
0.15800,-2.72662,-2.99515,-100.73624
0.17000,-2.77033,-3.06313,-103.53601
0.19200,-2.85015,-3.23628,-108.46764
0.20400,-2.88452,-3.29301,-110.89880
0.22600,-2.95681,-3.36759,-114.33641
0.24800,-2.95542,-3.37760,-117.14424
0.26000,-2.98347,-3.40132,-118.33978
0.28200,-3.03472,-3.42195,-120.70926
0.29400,-3.06736,-3.45419,-121.44562
0.31600,-3.08275,-3.51136,-122.79798
0.32800,-3.11235,-3.54559,-123.31750
0.35000,-3.20141,-3.52856,-124.63455
0.37200,-3.20469,-3.57228,-124.86985
0.38400,-3.22983,-3.58426,-125.23219
0.40600,-3.27311,-3.59225,-125.77936
0.41800,-3.25109,-3.61124,-125.87560
0.44000,-3.21142,-3.62067,-126.26116
0.45200,-3.22045,-3.63135,-126.38270
0.47400,-3.17861,-3.69293,-126.57001
0.48628,-3.16802,-3.70333,-126.67067
0.50800,-3.14697,-3.76985,-126.73429
0.53000,-3.20545,-3.77073,-127.01048
0.54200,-3.22481,-3.76384,-127.02751
0.56400,-3.19557,-3.75375,-127.22479
0.57600,-3.17005,-3.73672,-127.36485
0.59800,-3.11931,-3.71906,-127.63889
0.61000,-3.13626,-3.72185,-127.59909
0.63200,-3.14359,-3.72452,-127.43826
0.65400,-3.15142,-3.66837,-127.43095
0.66600,-3.15700,-3.66734,-127.74306
0.68300,-3.18654,-3.67195,-127.64526
0.70500,-3.17141,-3.68378,-127.73494
0.71700,-3.18099,-3.69143,-127.62559
0.73900,-3.21393,-3.65740,-127.40698
0.75100,-3.18479,-3.65705,-127.60679
0.77300,-3.21710,-3.65584,-127.84654
0.79500,-3.15867,-3.72164,-127.77076
0.80700,-3.14468,-3.72570,-127.67935
0.82900,-3.10879,-3.73473,-127.41350
0.84100,-3.09860,-3.73175,-127.36055
0.86300,-3.14494,-3.78098,-127.28240
0.87500,-3.13520,-3.78693,-127.47469
0.89700,-3.14949,-3.79449,-127.30900
0.91900,-3.13794,-3.78824,-127.58973
0.93100,-3.17018,-3.76099,-127.49783
0.95300,-3.14728,-3.73401,-127.67394
0.96500,-3.15773,-3.74942,-127.61698
0.98700,-3.15022,-3.73330,-127.87327
0.99900,-3.16583,-3.73467,-127.83904
1.02100,-3.17958,-3.74575,-127.55292
1.03328,-3.19248,-3.76511,-127.39235
1.05500,-3.22359,-3.72199,-127.40250
1.07700,-3.21116,-3.74976,-127.21961
1.08900,-3.23717,-3.75746,-127.30012
1.11100,-3.24378,-3.75068,-127.50703
1.12300,-3.24510,-3.75303,-127.48636
1.14500,-3.22962,-3.78612,-127.48629
1.15700,-3.22237,-3.79999,-127.39829
1.17900,-3.19043,-3.79118,-127.23067
1.20100,-3.18165,-3.80371,-127.50326
1.21300,-3.19521,-3.79932,-127.58641
1.23500,-3.16408,-3.82600,-127.65889
1.24700,-3.19218,-3.84688,-127.55401
1.26900,-3.18547,-3.82037,-127.58866
1.28100,-3.19978,-3.81539,-127.54551
1.30300,-3.20241,-3.79566,-127.52833
1.32500,-3.22397,-3.77667,-127.19970
1.33700,-3.23095,-3.79257,-127.21152
1.35900,-3.24880,-3.81426,-126.85944
1.37100,-3.24763,-3.81782,-126.96027
1.39300,-3.22957,-3.81835,-127.33413
1.40500,-3.22895,-3.82192,-127.42670
1.42700,-3.25278,-3.79871,-127.45545
1.43900,-3.25119,-3.78273,-127.50241
1.46100,-3.27491,-3.77923,-127.67420
1.48300,-3.24364,-3.77387,-127.66006
1.49500,-3.24115,-3.75522,-127.66217
1.51700,-3.28943,-3.75736,-127.86320
1.52900,-3.29769,-3.75746,-127.91904
1.55100,-3.30441,-3.75574,-128.00830
