Time,Phi (degrees),Theta (degrees)
0.00000,0.00000,0.00000
0.01200,-0.36558,-0.52722
0.03400,-0.98594,-1.27568
0.04600,-1.25646,-1.54439
0.06800,-1.70579,-2.01246
0.09000,-2.01742,-2.41350
0.10200,-2.13785,-2.57759
0.12400,-2.38750,-2.85523
0.13600,-2.44983,-2.93351
0.15800,-2.59462,-3.11714
0.17000,-2.65184,-3.17268
0.19200,-2.74873,-3.32682
0.20400,-2.79342,-3.37437
0.22600,-2.88219,-3.43476
0.24800,-2.89587,-3.43142
0.26000,-2.93037,-3.44971
0.28200,-2.99200,-3.46197
0.29400,-3.02922,-3.49025
0.31600,-3.05168,-3.54075
0.32800,-3.08458,-3.57213
0.35000,-3.17948,-3.55121
0.37200,-3.18715,-3.59085
0.38400,-3.21422,-3.60112
0.40600,-3.26067,-3.60638
0.41800,-3.24006,-3.62404
0.44000,-3.20266,-3.63121
0.45200,-3.21270,-3.64097
0.47400,-3.17242,-3.70097
0.48628,-3.16259,-3.71068
0.50800,-3.14270,-3.77613
0.53000,-3.20218,-3.77629
0.54200,-3.22198,-3.76901
0.56400,-3.19348,-3.75821
0.57600,-3.16831,-3.74086
0.59800,-3.11814,-3.72261
0.61000,-3.13532,-3.72520
0.63200,-3.14303,-3.72755
0.65400,-3.15116,-3.67113
0.66600,-3.15688,-3.67000
0.68300,-3.18660,-3.67443
0.70500,-3.17165,-3.68609
0.71700,-3.18132,-3.69366
0.73900,-3.21434,-3.65945
0.75100,-3.18528,-3.65900
0.77300,-3.21771,-3.65780
0.79500,-3.15941,-3.72356
0.80700,-3.14547,-3.72760
0.82900,-3.10966,-3.73664
0.84100,-3.09949,-3.73364
0.86300,-3.14590,-3.78279
0.87500,-3.13617,-3.78869
0.89700,-3.15050,-3.79621
0.91900,-3.13900,-3.78989
0.93100,-3.17123,-3.76262
0.95300,-3.14840,-3.73558
0.96500,-3.15886,-3.75099
0.98700,-3.15140,-3.73484
0.99900,-3.16702,-3.73621
1.02100,-3.18078,-3.74726
1.03328,-3.19371,-3.76661
1.05500,-3.22482,-3.72351
1.07700,-3.21242,-3.75130
1.08900,-3.23843,-3.75903
1.11100,-3.24504,-3.75225
1.12300,-3.24636,-3.75461
1.14500,-3.23087,-3.78770
1.15700,-3.22362,-3.80157
1.17900,-3.19167,-3.79281
1.20100,-3.18285,-3.80531
1.21300,-3.19641,-3.80092
1.23500,-3.16526,-3.82757
1.24700,-3.19339,-3.84843
1.26900,-3.18668,-3.82192
1.28100,-3.20100,-3.81694
1.30300,-3.20362,-3.79721
1.32500,-3.22512,-3.77816
1.33700,-3.23211,-3.79407
1.35900,-3.25002,-3.81572
1.37100,-3.24884,-3.81929
1.39300,-3.23079,-3.81977
1.40500,-3.23017,-3.82335
1.42700,-3.25400,-3.80017
1.43900,-3.25242,-3.78420
1.46100,-3.27614,-3.78075
1.48300,-3.24487,-3.77539
1.49500,-3.24239,-3.75674
1.51700,-3.29066,-3.75898
1.52900,-3.29893,-3.75908
1.55100,-3.30565,-3.75736
1.56300,-3.30073,-3.76820
1.58500,-3.28421,-3.81588
1.60700,-3.27955,-3.82639
1.61900,-3.27969,-3.83885
1.64100,-3.33005,-3.80810
1.65300,-3.32720,-3.81836
1.67500,-3.33425,-3.80804
1.68700,-3.31878,-3.81036
1.70900,-3.32237,-3.80702
1.73100,-3.31878,-3.79822
1.74300,-3.32631,-3.79552
1.76500,-3.33308,-3.79969
1.77700,-3.32717,-3.79803
1.79900,-3.32585,-3.81886
1.81100,-3.33321,-3.80463
1.83300,-3.33025,-3.81686
1.84500,-3.34079,-3.81555
1.86700,-3.34430,-3.81286
1.88900,-3.33173,-3.79838
1.90100,-3.33272,-3.80112
1.92300,-3.33122,-3.81736
1.93500,-3.32482,-3.81824
1.95700,-3.30818,-3.83013
