Time,Phi (degrees),Theta (degrees)
0.0,-2.026,-2.723
0.011999999999943611,-2.662,-3.719
0.03399999999987813,-3.007,-3.707
0.04599999999982174,-3.116,-3.636
0.06799999999998363,-3.208,-3.669
0.08999999999991815,-3.162,-3.748
0.10199999999986176,-3.007,-3.883
0.12399999999979627,-3.169,-3.857
0.13599999999996726,-2.975,-3.669
0.15799999999990177,-3.013,-3.794
0.16999999999984539,-3.06,-3.603
0.19200000000000728,-3.053,-3.805
0.2039999999999509,-3.065,-3.759
0.2259999999998854,-3.12,-3.664
0.24799999999981992,-2.96,-3.574
0.2599999999999909,-3.074,-3.569
0.2819999999999254,-3.135,-3.51
0.29399999999986903,-3.205,-3.704
0.31599999999980355,-3.143,-3.681
0.32799999999997453,-3.231,-3.776
0.34999999999990905,-3.362,-3.619
0.37199999999984357,-3.245,-3.641
0.3839999999997872,-3.297,-3.676
0.40599999999994907,-3.341,-3.687
0.4179999999998927,-3.14,-3.722
0.4399999999998272,-3.016,-3.712
0.4519999999999982,-3.149,-3.718
0.4739999999999327,-2.994,-3.831
0.48628499999995256,-2.981,-3.827
0.5079999999998108,-2.995,-3.945
0.5299999999999727,-3.235,-3.843
0.5419999999999163,-3.291,-3.784
0.5639999999998508,-3.103,-3.688
0.5759999999997945,-2.935,-3.636
0.5979999999999563,-2.866,-3.643
0.6099999999999,-3.091,-3.701
0.6319999999998345,-3.072,-3.764
0.6539999999999964,-3.096,-3.527
0.66599999999994,-3.131,-3.591
0.6829979999999978,-3.224,-3.687
0.7049999999999272,-3.095,-3.694
0.7169999999998709,-3.15,-3.751
0.7389999999998054,-3.229,-3.566
0.7509999999999764,-2.967,-3.602
0.7729999999999109,-3.162,-3.633
0.7949999999998454,-2.945,-3.887
0.806999999999789,-2.929,-3.81
0.8289999999999509,-2.851,-3.816
0.8409999999998945,-2.87,-3.732
0.862999999999829,-3.147,-3.916
0.875,-3.023,-3.883
0.8969999999999345,-3.096,-3.856
0.918999999999869,-3.04,-3.779
0.9309999999998126,-3.275,-3.589
0.9529999999999745,-3.03,-3.6
0.9649999999999181,-3.119,-3.767
0.9869999999998527,-3.033,-3.704
0.9989999999997963,-3.144,-3.73
1.0209999999999582,-3.147,-3.759
1.033284999999978,-3.19,-3.888
1.0549999999998363,-3.257,-3.64
1.0769999999999982,-3.118,-3.773
1.0889999999999418,-3.316,-3.794
1.1109999999998763,-3.261,-3.738
1.12299999999982,-3.208,-3.738
1.1449999999999818,-3.09,-3.873
1.1569999999999254,-3.037,-3.913
1.17899999999986,-2.928,-3.788
1.2009999999997945,-2.993,-3.802
1.2129999999999654,-3.124,-3.789
1.2349999999999,-2.973,-3.928
1.2469999999998436,-3.241,-3.997
1.2690000000000055,-3.101,-3.771
1.280999999999949,-3.179,-3.756
1.3029999999998836,-3.138,-3.663
1.324999999999818,-3.21,-3.655
1.336999999999989,-3.22,-3.85
1.3589999999999236,-3.22,-3.92
1.3709999999998672,-3.118,-3.904
1.3929999999998017,-3.071,-3.83
1.4049999999999727,-3.08,-3.853
1.4269999999999072,-3.199,-3.73
1.4389999999998508,-3.147,-3.603
1.4609999999997854,-3.237,-3.707
1.4829999999999472,-3.023,-3.718
1.4949999999998909,-3.063,-3.565
1.5169999999998254,-3.333,-3.692
1.5289999999999964,-3.271,-3.729
1.5509999999999309,-3.207,-3.755
1.5629999999998745,-3.156,-3.833
1.584999999999809,-3.064,-4.039
1.606999999999971,-3.078,-3.943
1.6189999999999145,-3.141,-3.944
1.640999999999849,-3.422,-3.716
1.6529999999997926,-3.276,-3.88
1.6749999999999545,-3.276,-3.792
1.6869999999998981,-3.05,-3.79
1.7089999999998327,-3.147,-3.769
1.7309999999999945,-3.149,-3.74
1.7429999999999382,-3.271,-3.75
1.7649999999998727,-3.227,-3.809
1.7769999999998163,-3.126,-3.78
1.7989999999999782,-3.163,-3.913
1.8109999999999218,-3.221,-3.667
1.8329999999998563,-3.146,-3.801
1.8449999999998,-3.299,-3.735
1.8669999999999618,-3.25,-3.787
1.8889999999998963,-3.107,-3.685
1.90099999999984,-3.164,-3.757
1.9230000000000018,-3.118,-3.88
1.9349999999999454,-3.047,-3.848
1.95699999999988,-2.994,-3.944
1.9689999999998236,-3.075,-3.724
1.9909999999999854,-2.775,-3.785
2.01299999999992,-3.062,-3.736
2.0249999999998636,-3.149,-3.699
2.046999999999798,-3.103,-3.559
2.058999999999969,-3.108,-3.896
2.0809999999999036,-3.01,-3.82
2.092999999999847,-3.053,-3.776
2.115000000000009,-3.185,-3.681
2.1369999999999436,-3.302,-3.752
2.1489999999998872,-3.215,-3.648
2.1709999999998217,-3.27,-3.776
2.1829999999999927,-3.227,-3.774
2.2049999999999272,-3.069,-3.795
2.216999999999871,-3.008,-3.743
2.2389999999998054,-3.007,-3.914
2.2509999999999764,-3.227,-3.819
2.272999999999911,-3.118,-3.743
2.2949999999998454,-3.174,-3.795
2.306999999999789,-3.233,-3.578
2.328999999999951,-3.001,-3.729
2.3409999999998945,-3.125,-3.727
2.362999999999829,-3.231,-3.757
2.375,-3.249,-3.704
2.3969999999999345,-3.036,-3.611
2.418999999999869,-3.219,-3.71
2.4309999999998126,-3.227,-3.719
2.4529999999999745,-3.1,-3.799
2.464999999999918,-3.15,-3.772
2.4869999999998527,-3.114,-3.826
2.4989999999997963,-3.298,-3.781
2.520999999999958,-3.134,-3.77
2.5329999999999018,-2.997,-3.792
2.5549999999998363,-3.176,-3.752
2.576999999999998,-3.011,-3.684
2.588999999999942,-3.107,-3.856
2.6109999999998763,-3.22,-3.829
2.62299999999982,-3.222,-3.846
