Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,-1.72507,2.26760,-13.60970
0.03400,-4.52819,5.88350,-25.77692
0.04600,-5.89707,7.31249,-31.96983
0.06800,-8.11207,9.63068,-40.36422
0.08000,-9.10270,10.54499,-44.52271
0.10200,-10.80823,11.97631,-49.83970
0.11400,-11.57682,12.65605,-51.05293
0.13600,-12.79432,13.59210,-54.16616
0.15800,-13.69157,14.41424,-56.83748
0.17000,-14.11708,14.75888,-56.66854
0.19200,-14.85022,15.35660,-55.94627
0.20900,-15.26122,15.69797,-54.04708
0.22100,-15.50484,15.88702,-52.40466
0.24300,-15.94335,16.21204,-50.41756
0.25500,-16.10130,16.34879,-48.51601
0.27700,-16.34888,16.58009,-46.45292
0.29900,-16.58361,16.69171,-46.49160
0.31100,-16.68719,16.81066,-46.96417
0.33300,-16.84413,17.00635,-45.92469
0.34500,-16.91711,17.08969,-45.12259
0.36700,-17.07283,17.16080,-43.30670
0.37900,-17.11409,17.20685,-43.11490
0.40100,-17.24382,17.31158,-42.01717
0.42300,-17.21894,17.30203,-39.12242
0.43500,-17.25647,17.29870,-38.79204
0.45700,-17.27787,17.38725,-37.50460
0.46900,-17.27986,17.40198,-36.91969
0.49100,-17.30913,17.40741,-38.45571
0.50300,-17.30680,17.37864,-37.10207
0.52500,-17.35804,17.31450,-35.05086
0.54700,-17.41528,17.33259,-36.43455
0.55900,-17.47529,17.34963,-36.83777
0.58100,-17.40577,17.37556,-35.78458
0.59300,-17.41080,17.37845,-35.81757
0.61500,-17.40958,17.37011,-35.96644
0.62700,-17.42938,17.35976,-36.27405
0.64900,-17.42270,17.35557,-35.28943
0.66100,-17.43259,17.37209,-35.49923
0.68300,-17.43970,17.39799,-34.63376
0.70500,-17.39063,17.39030,-35.06035
0.71700,-17.40174,17.38120,-35.29395
0.73900,-17.42252,17.44380,-34.21387
0.75100,-17.41481,17.43382,-34.03790
0.77300,-17.42200,17.43444,-33.33160
0.78500,-17.39525,17.42186,-32.02830
0.80700,-17.41410,17.43861,-32.31640
0.82900,-17.37638,17.41697,-32.95829
0.84100,-17.37342,17.43846,-33.14439
0.86300,-17.35146,17.48537,-34.25994
0.87500,-17.36189,17.52240,-34.33008
0.89700,-17.34969,17.56010,-34.60141
0.90900,-17.33006,17.57448,-34.94489
0.93100,-17.30145,17.62844,-36.78165
0.95300,-17.31677,17.71573,-35.77446
0.96500,-17.35256,17.76223,-34.48061
0.98700,-17.38499,17.88812,-35.84521
0.99900,-17.36691,17.92132,-35.56736
1.02100,-17.29197,18.01798,-36.61677
1.03300,-17.28830,18.23201,-36.11339
1.05500,-17.13503,18.49021,-34.41787
1.06700,-17.09754,18.73295,-34.24731
1.08900,-17.07712,19.35959,-33.63388
1.11100,-17.07539,19.69144,-32.75412
1.12300,-17.10871,19.88416,-32.84750
1.14500,-17.13350,20.02884,-31.12416
1.15700,-17.12762,20.09912,-30.23862
1.17900,-17.05329,20.11271,-30.48613
1.20100,-17.07842,20.08232,-30.56912
1.21300,-17.09570,20.00346,-30.10457
1.23500,-17.16420,19.79358,-29.90460
1.24700,-17.18331,19.72394,-30.03476
1.26900,-17.19995,19.59936,-29.91424
1.28100,-17.20015,19.54776,-29.56184
1.30300,-17.25126,19.41121,-29.31826
1.31500,-17.31825,19.31815,-29.03361
1.33700,-17.37545,19.26950,-28.29016
1.35900,-17.40164,19.25184,-28.08920
1.37100,-17.39444,19.28694,-28.23989
1.39300,-17.43283,19.35739,-29.06976
1.40500,-17.46029,19.36898,-28.86012
1.42700,-17.65748,19.39202,-28.30955
1.43900,-17.76758,19.33888,-28.23228
1.46100,-18.03024,19.35286,-28.34603
1.47300,-18.12876,19.38283,-28.41950
1.49500,-18.33559,19.67742,-28.72535
1.51700,-18.46263,19.99606,-27.63040
1.52900,-18.54759,20.00995,-27.64258
1.55100,-18.73198,19.66703,-27.50106
1.56300,-18.81095,19.21174,-27.32154
1.58500,-19.23190,19.29022,-26.65986
1.59700,-19.20574,19.26256,-26.60129
1.61900,-18.60303,20.12215,-26.86070
1.64100,-17.72639,20.95300,-27.71890
1.65300,-17.08816,20.87913,-28.37995
1.67500,-15.57726,20.42683,-29.77621
1.68700,-14.76544,20.19886,-30.64855
1.70900,-13.23361,19.83148,-32.11765
1.72100,-12.30325,19.45616,-32.72286
1.74300,-11.67188,18.56355,-34.13848
1.75500,-11.80924,18.19823,-34.73036
1.77700,-11.24946,17.54963,-36.77533
1.79900,-9.70852,18.70740,-39.12074
1.81100,-8.96745,19.58227,-40.21904
1.83300,-7.09798,20.52352,-42.06876
1.84500,-6.27324,20.74727,-42.98115
1.86700,-5.29613,20.66141,-43.62713
1.88900,-4.78574,20.24854,-44.33820
1.90100,-4.57552,19.98956,-44.08718
1.92300,-4.49169,19.83762,-43.56033
1.93500,-4.52243,20.11609,-43.23410
1.95700,-4.37080,20.70760,-41.92130
1.96900,-4.25291,20.92535,-41.09367
1.99100,-4.19650,21.20892,-38.58271
2.00300,-4.26715,21.35420,-37.30041
2.02500,-4.53644,21.80940,-34.36092
2.04700,-4.88028,22.44862,-31.73052
2.05900,-4.97831,22.85845,-30.30929
2.08100,-5.35774,23.56863,-27.28582
2.09300,-5.66625,23.88598,-25.97547
2.11500,-6.22051,24.37828,-23.29365
2.12700,-6.44683,24.61507,-22.30116
2.14900,-6.67375,24.97285,-20.29573
