Time,Phi (degrees),Theta (degrees),Yaw (degrees)
0.01200,-1.80689,2.02912,-13.60489
0.03400,-4.74456,5.24175,-25.57417
0.04600,-6.15001,6.49258,-31.62672
0.06800,-8.39789,8.54754,-41.03952
0.08000,-9.40338,9.34039,-45.60974
0.10200,-11.10434,10.60461,-52.82690
0.11400,-11.86972,11.20021,-55.67146
0.13600,-13.08254,12.01703,-60.69828
0.15800,-13.98454,12.72962,-65.13693
0.17000,-14.40919,13.02608,-66.59450
0.19200,-15.13410,13.54775,-68.61182
0.20900,-15.54313,13.84213,-69.80783
0.22100,-15.78842,14.00073,-69.96338
0.24300,-16.22358,14.27941,-70.95763
0.25500,-16.38415,14.39270,-70.96067
0.27700,-16.63643,14.58611,-71.34128
0.29900,-16.87186,14.67687,-71.88577
0.31100,-16.97876,14.77790,-72.38131
0.33300,-17.14226,14.94173,-72.53076
0.34500,-17.21676,15.01231,-72.64699
0.36700,-17.37202,15.06816,-72.34504
0.37900,-17.41620,15.10454,-72.58861
0.40100,-17.54621,15.19076,-72.63160
0.42300,-17.53148,15.17028,-72.33642
0.43500,-17.56910,15.16445,-72.26476
0.45700,-17.59395,15.24026,-71.88860
0.46900,-17.59879,15.25087,-71.85054
0.49100,-17.63227,15.24879,-72.69368
0.50300,-17.63196,15.21971,-71.96696
0.52500,-17.68184,15.15861,-70.92632
0.54700,-17.73810,15.17208,-71.71286
0.55900,-17.79407,15.18801,-72.02464
0.58100,-17.73270,15.20863,-71.76111
0.59300,-17.73804,15.21065,-71.77234
0.61500,-17.73869,15.20152,-71.86694
0.62700,-17.75707,15.19298,-71.92732
0.64900,-17.75168,15.18959,-71.27383
0.66100,-17.76124,15.20494,-71.31448
0.68300,-17.76877,15.22898,-71.10977
0.70500,-17.72240,15.22311,-70.96297
0.71700,-17.73329,15.21420,-71.12784
0.73900,-17.75310,15.27077,-70.86433
0.75100,-17.74590,15.26150,-70.82275
0.77300,-17.75343,15.26133,-70.51798
0.78500,-17.72940,15.24911,-70.23805
0.80700,-17.74919,15.26357,-70.29976
0.82900,-17.71429,15.24595,-70.45010
0.84100,-17.71271,15.26580,-70.40353
0.86300,-17.69347,15.31200,-70.63609
0.87500,-17.70489,15.34612,-70.30762
0.89700,-17.69477,15.38238,-71.12598
0.90900,-17.67714,15.39704,-71.52171
0.93100,-17.65067,15.45367,-72.10178
0.95300,-17.66731,15.53649,-71.66863
0.96500,-17.70064,15.58093,-71.29059
0.98700,-17.73502,15.69764,-71.89310
0.99900,-17.71620,15.73273,-71.78255
1.02100,-17.64085,15.83930,-72.40295
1.03300,-17.63302,16.05232,-72.11951
1.05500,-17.48266,16.31804,-70.94190
1.06700,-17.45067,16.54976,-70.76434
1.08900,-17.44114,17.13356,-70.40821
1.11100,-17.44882,17.43785,-69.74118
1.12300,-17.48604,17.61100,-69.74339
1.14500,-17.51480,17.73706,-68.49493
1.15700,-17.51511,17.79259,-67.72371
1.17900,-17.45504,17.78584,-67.63079
1.20100,-17.48421,17.73981,-67.92838
1.21300,-17.50148,17.65892,-67.66631
1.23500,-17.56663,17.45016,-67.24093
1.24700,-17.58520,17.38008,-67.26781
1.26900,-17.60244,17.25818,-67.19546
1.28100,-17.60475,17.20584,-67.13385
1.30300,-17.65571,17.07074,-66.70886
1.31500,-17.71753,16.98467,-66.48704
1.33700,-17.77337,16.94051,-66.48317
1.35900,-17.80161,16.92347,-66.19848
1.37100,-17.79996,16.95299,-66.24100
1.39300,-17.84451,17.01424,-66.76846
1.40500,-17.87534,17.02225,-66.61799
1.42700,-18.06530,17.04528,-66.29995
1.43900,-18.17131,16.99598,-66.03697
1.46100,-18.42028,17.01558,-66.21579
1.47300,-18.51389,17.04919,-66.31443
1.49500,-18.71223,17.33379,-66.08875
1.51700,-18.83823,17.62991,-65.66445
1.52900,-18.92435,17.63506,-65.39815
1.55100,-19.11170,17.29609,-65.18917
1.56300,-19.18286,16.87871,-64.97465
1.58500,-19.59916,16.93003,-64.25916
1.59700,-19.57789,16.90298,-64.22490
1.61900,-19.03349,17.69119,-64.41651
1.64100,-18.23732,18.46504,-64.61736
1.65300,-17.64281,18.40129,-64.86044
1.67500,-16.23664,17.97828,-65.41344
1.68700,-15.48314,17.75109,-65.71702
1.70900,-14.09125,17.34040,-66.25354
1.72100,-13.26608,16.92277,-66.35167
1.74300,-12.70471,16.03004,-66.75518
1.75500,-12.81607,15.68849,-66.80962
1.77700,-12.17221,15.13968,-67.59234
1.79900,-10.66462,16.29504,-68.64751
1.81100,-9.92532,17.15685,-69.25887
1.83300,-8.11356,18.08717,-70.49445
1.84500,-7.31703,18.31502,-71.09293
1.86700,-6.35104,18.26677,-71.66019
1.88900,-5.81706,17.90744,-72.00129
1.90100,-5.59713,17.67759,-71.89690
1.92300,-5.46332,17.58280,-71.51695
1.93500,-5.45431,17.87662,-71.20703
1.95700,-5.22333,18.48021,-70.58733
1.96900,-5.07148,18.69664,-70.18914
1.99100,-4.95272,18.97894,-68.59555
2.00300,-4.99198,19.12199,-67.67227
2.02500,-5.20144,19.56623,-66.06313
2.04700,-5.46933,20.19798,-64.66183
2.05900,-5.54766,20.58472,-63.79801
2.08100,-5.90504,21.23083,-62.34729
2.09300,-6.21503,21.50934,-61.44496
2.11500,-6.78243,21.94502,-59.74379
2.12700,-7.02352,22.15871,-59.22321
2.14900,-7.29076,22.48188,-57.97047
2.16100,-7.33992,22.57517,-57.52210
2.18300,-7.14727,22.58979,-57.33880
2.21000,-6.59224,22.45783,-57.09167
2.22200,-6.34820,22.41111,-56.72740
2.23400,-6.17100,22.35551,-56.49752
2.25600,-5.84764,22.27287,-55.83004
2.26800,-5.68953,22.29509,-55.63061
2.29000,-5.33871,22.47374,-55.37098
2.30228,-5.13490,22.53705,-55.22697
2.32400,-4.66505,22.52285,-55.26982
2.34600,-4.22903,22.42257,-55.27092
2.35800,-3.98107,22.39343,-55.16392
2.38000,-3.51820,22.34212,-55.08228
2.39200,-3.28179,22.30902,-55.12354
2.41400,-2.80760,22.18921,-55.24428
2.42600,-2.57889,22.13245,-55.17330
2.44800,-2.24738,22.13247,-55.42886
2.47000,-1.92873,22.18476,-55.56857
2.48200,-1.82153,22.27706,-55.35109
2.50400,-1.68984,22.53145,-55.02045
2.51600,-1.68430,22.60373,-54.75910
2.53800,-1.78718,22.98001,-54.28191
2.55000,-1.88597,23.26429,-53.97689
2.57200,-2.27605,23.85553,-53.34204
2.59400,-2.88815,24.28501,-52.62977
2.60600,-3.24589,24.45570,-52.41459
2.62800,-3.89154,24.71401,-52.29940
2.64000,-4.25703,24.75447,-52.29989
2.66200,-5.06005,24.71559,-52.56688
2.67400,-5.27523,24.18718,-52.80791
