Time,Phi (degrees),Theta (degrees)
0.00000,0.00000,0.00000
0.01200,-2.04981,1.81344
0.03400,-5.27738,4.75449
0.04600,-6.69009,5.98360
0.06800,-8.99898,7.95203
0.08000,-9.96876,8.77110
0.10200,-11.63348,10.04147
0.11400,-12.35446,10.68126
0.13600,-13.50314,11.54979
0.15800,-14.34670,12.32252
0.17000,-14.73469,12.65925
0.19200,-15.40245,13.24228
0.20900,-15.77233,13.58028
0.22100,-15.99234,13.76753
0.24300,-16.38878,14.08919
0.25500,-16.53118,14.22337
0.27700,-16.75473,14.44974
0.29900,-16.96707,14.56641
0.31100,-17.06417,14.67888
0.33300,-17.21119,14.86198
0.34500,-17.27842,14.94102
0.36700,-17.42155,15.01115
0.37900,-17.46061,15.05349
0.40100,-17.58217,15.14951
0.42300,-17.56065,15.13697
0.43500,-17.59526,15.13466
0.45700,-17.61496,15.21627
0.46900,-17.61766,15.22940
0.49100,-17.64768,15.23108
0.50300,-17.64597,15.20389
0.52500,-17.69379,15.14627
0.54700,-17.74805,15.16164
0.55900,-17.80313,15.17847
0.58100,-17.74010,15.20077
0.59300,-17.74474,15.20361
0.61500,-17.74422,15.19580
0.62700,-17.76208,15.18785
0.64900,-17.75582,15.18545
0.66100,-17.76502,15.20124
0.68300,-17.77188,15.22603
0.70500,-17.72500,15.22071
0.71700,-17.73566,15.21204
0.73900,-17.75496,15.26912
0.75100,-17.74761,15.26006
0.77300,-17.75487,15.26026
0.78500,-17.73074,15.24815
0.80700,-17.75036,15.26285
0.82900,-17.71531,15.24547
0.84100,-17.71363,15.26542
0.86300,-17.69439,15.31179
0.87500,-17.70564,15.34603
0.89700,-17.69572,15.38239
0.90900,-17.67811,15.39714
0.93100,-17.65186,15.45392
0.95300,-17.66801,15.53688
0.96500,-17.70113,15.58147
0.98700,-17.73616,15.69795
0.99900,-17.71724,15.73307
1.02100,-17.64240,15.84002
1.03300,-17.63398,16.05305
1.05500,-17.48067,16.31738
1.06700,-17.44857,16.54923
1.08900,-17.43764,17.13322
1.11100,-17.44404,17.43778
1.12300,-17.48171,17.61103
1.14500,-17.50961,17.73757
1.15700,-17.50993,17.79322
1.17900,-17.45066,17.78653
1.20100,-17.48040,17.74048
1.21300,-17.49817,17.65968
1.23500,-17.56461,17.45124
1.24700,-17.58335,17.38118
1.26900,-17.60098,17.25929
1.28100,-17.60345,17.20696
1.30300,-17.65514,17.07206
1.31500,-17.71720,16.98610
1.33700,-17.77315,16.94192
1.35900,-17.80151,16.92492
1.37100,-17.79991,16.95442
1.39300,-17.84483,17.01539
1.40500,-17.87565,17.02345
1.42700,-18.06558,17.04688
1.43900,-18.17169,16.99776
1.46100,-18.42074,17.01670
1.47300,-18.51440,17.05018
1.49500,-18.71241,17.33499
1.51700,-18.83756,17.63145
1.52900,-18.92373,17.63672
1.55100,-19.11119,17.29767
1.56300,-19.18240,16.88026
1.58500,-19.59870,16.93222
1.59700,-19.57746,16.90513
1.61900,-19.03606,17.69498
1.64100,-18.24110,18.46984
1.65300,-17.64631,18.40682
1.67500,-16.23782,17.98959
1.68700,-15.48354,17.76420
1.70900,-14.08912,17.36055
1.72100,-13.26350,16.94312
1.74300,-12.69566,16.05270
1.75500,-12.80644,15.70967
1.77700,-12.15759,15.16586
1.79900,-10.66463,16.33471
1.81100,-9.92938,17.19781
1.83300,-8.12128,18.13250
1.84500,-7.32448,18.35947
1.86700,-6.35745,18.30705
1.88900,-5.82296,17.94421
1.90100,-5.60318,17.71237
1.92300,-5.46925,17.61455
1.93500,-5.45969,17.90706
1.95700,-5.22697,18.50785
1.96900,-5.07482,18.72302
1.99100,-4.95356,19.00246
2.00300,-4.99237,19.14487
2.02500,-5.19935,19.58883
2.04700,-5.46516,20.22023
2.05900,-5.54234,20.60654
2.08100,-5.89613,21.25346
2.09300,-6.20526,21.53266
2.11500,-6.76888,21.97229
2.12700,-7.01003,22.18580
2.14900,-7.27508,22.50959
2.16100,-7.32451,22.60218
2.18300,-7.13291,22.61458
2.21000,-6.57980,22.47814
2.22200,-6.33644,22.42977
2.23400,-6.15986,22.37313
2.25600,-5.83790,22.28741
2.26800,-5.68011,22.30892
2.29000,-5.32922,22.48570
2.30228,-5.12562,22.54829
2.32400,-4.65641,22.53274
2.34600,-4.22121,22.43118
2.35800,-3.97360,22.40138
2.38000,-3.51138,22.34859
2.39200,-3.27525,22.31521
2.41400,-2.80164,22.19478
2.42600,-2.57323,22.13766
2.44800,-2.24214,22.13823
2.47000,-1.92399,22.19104
2.48200,-1.81692,22.28321
2.50400,-1.68556,22.53749
2.51600,-1.68018,22.60972
2.53800,-1.78354,22.98589
2.55000,-1.88245,23.27015
2.57200,-2.27181,23.86186
