Time,Phi (degrees),Theta (degrees)
0.0,-11.382,10.258
0.011999999999943611,-15.088,13.478
0.03399999999987813,-16.175,14.76
0.04599999999982174,-16.668,15.105
0.06799999999998363,-16.901,15.225
0.07999999999992724,-16.838,15.156
0.10199999999986176,-17.085,14.97
0.11400000000003274,-17.196,15.339
0.13599999999996726,-17.223,14.975
0.15799999999990177,-17.021,15.093
0.16999999999984539,-17.076,15.127
0.19200000000000728,-17.197,15.272
0.2089979999998377,-17.096,15.264
0.22100000000000364,-17.076,15.2
0.24299999999993815,-17.185,15.236
0.25499999999988177,-17.073,15.253
0.2769999999998163,-17.008,15.255
0.29899999999997817,-17.099,14.976
0.3109999999999218,-17.149,15.195
0.3329999999998563,-17.101,15.379
0.3450000000000273,-17.086,15.499
0.3669999999999618,-17.204,15.37
0.3789999999999054,-17.12,15.404
0.40099999999983993,-17.252,15.542
0.4230000000000018,-16.948,15.352
0.43499999999994543,-17.075,15.286
0.45699999999987995,-16.992,15.543
0.46899999999982356,-16.921,15.48
0.49099999999998545,-16.974,15.433
0.5029999999999291,-16.963,15.233
0.5249999999998636,-17.096,15.099
0.5470000000000255,-17.19,15.248
0.5589999999999691,-17.415,15.348
0.5809999999999036,-16.98,15.376
0.5929999999998472,-17.011,15.37
0.6150000000000091,-17.012,15.29
0.6269999999999527,-17.128,15.184
0.6489999999998872,-17.058,15.198
0.6609999999998308,-17.099,15.325
0.6829999999999927,-17.096,15.343
0.7049999999999272,-16.962,15.25
0.7169999999998709,-17.116,15.174
0.7390000000000327,-17.161,15.451
0.7509999999999764,-17.098,15.318
0.7729999999999109,-17.121,15.32
0.7849999999998545,-16.949,15.203
0.8070000000000164,-17.073,15.289
0.8289999999999509,-16.94,15.153
0.8409999999998945,-16.974,15.294
0.862999999999829,-16.909,15.332
0.875,-17.017,15.441
0.8969999999999345,-16.949,15.419
0.9089999999998781,-16.811,15.365
0.9309999999998126,-16.776,15.313
0.9529999999999745,-16.927,15.405
0.9649999999999181,-17.163,15.56
0.9869999999998527,-17.173,15.731
0.9990000000000236,-16.979,15.586
1.0209999999999582,-16.792,15.314
1.0329999999999018,-16.906,15.822
1.0549999999998363,-16.483,15.376
1.0670000000000073,-16.476,16.158
1.0889999999999418,-16.521,17.538
1.1109999999998763,-16.59,17.575
1.12299999999982,-16.767,18.254
1.1449999999999818,-16.729,17.939
1.1569999999999254,-16.525,18.187
1.17899999999986,-16.204,18.122
1.2010000000000218,-16.38,18.213
1.2129999999999654,-16.559,17.765
1.2349999999999,-16.798,17.351
1.2469999999998436,-16.783,17.318
1.2690000000000055,-16.716,17.076
1.280999999999949,-16.619,17.075
1.3029999999998836,-16.808,16.89
1.3149999999998272,-17.187,16.508
1.336999999999989,-17.08,16.657
1.3589999999999236,-16.937,16.796
1.3709999999998672,-16.591,17.195
1.393000000000029,-16.467,17.524
1.4049999999999727,-16.278,17.581
1.4269999999999072,-16.723,17.499
1.4389999999998508,-17.013,16.881
1.4610000000000127,-17.467,16.864
1.4729999999999563,-17.387,16.78
1.4949999999998909,-17.399,17.829
1.5169999999998254,-16.989,18.82
1.5289999999999964,-16.803,18.57
1.5509999999999309,-16.365,17.137
1.5629999999998745,-15.616,13.412
1.584999999999809,-15.643,16.736
1.59699999999998,-13.694,17.401
1.6189999999999145,-9.911,22.004
1.640999999999849,-6.941,23.833
1.65300000000002,-5.283,19.635
1.6749999999999545,-3.135,15.936
1.6869999999998981,-1.809,15.076
1.7089999999998327,-0.144,15.725
1.7210000000000036,3.641,15.199
1.7429999999999382,1.945,14.744
